,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,15.0,1.0,1.0,2020-09-13,BAL,,CLE,"W, 38-6",,6,5,101,20.2,0,83.3,16.8,0,0,0,,0,0,0,,37,62.7,0,0.0,0,0.0
1,2.0,16.0,2.0,2.0,2020-09-20,BAL,@,HOU,"W, 33-16",*,6,5,42,8.4,0,83.3,7.0,0,0,0,,0,0,0,,44,67.7,0,0.0,0,0.0
2,3.0,17.0,3.0,3.0,2020-09-28,BAL,,KAN,"L, 20-34",*,6,2,13,6.5,0,33.3,2.2,0,0,0,,0,0,0,,44,78.6,0,0.0,0,0.0
3,4.0,18.0,4.0,4.0,2020-10-04,BAL,@,WAS,"W, 31-17",*,8,4,86,21.5,0,50.0,10.8,0,0,0,,0,0,0,,43,75.4,0,0.0,0,0.0
4,5.0,19.0,5.0,5.0,2020-10-11,BAL,,CIN,"W, 27-3",*,10,6,77,12.8,1,60.0,7.7,1,1,0,1.0,1,30,0,30.0,54,85.7,0,0.0,1,3.8
5,6.0,20.0,6.0,6.0,2020-10-18,BAL,@,PHI,"W, 30-28",*,6,4,57,14.3,0,66.7,9.5,0,0,0,,0,0,0,,62,84.9,0,0.0,0,0.0
6,7.0,21.0,7.0,8.0,2020-11-01,BAL,,PIT,"L, 24-28",*,2,1,3,3.0,1,50.0,1.5,0,0,0,,0,0,0,,77,93.9,0,0.0,0,0.0
7,8.0,22.0,8.0,9.0,2020-11-08,BAL,@,IND,"W, 24-10",*,5,3,38,12.7,0,60.0,7.6,0,0,0,,0,0,0,,55,85.9,0,0.0,0,0.0
8,9.0,23.0,9.0,10.0,2020-11-15,BAL,@,NWE,"L, 17-23",*,7,2,14,7.0,0,28.6,2.0,0,0,0,,0,0,0,,62,93.9,0,0.0,0,0.0
9,10.0,24.0,10.0,11.0,2020-11-22,BAL,,TEN,"L, 24-30 (OT)",*,3,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,47,72.3,0,0.0,0,0.0
10,11.0,25.0,11.0,12.0,2020-12-02,BAL,@,PIT,"L, 14-19",*,8,4,85,21.3,1,50.0,10.6,0,0,0,,0,0,0,,42,79.2,0,0.0,0,0.0
11,12.0,26.0,12.0,13.0,2020-12-08,BAL,,DAL,"W, 34-17",*,8,5,39,7.8,1,62.5,4.9,0,0,0,,0,0,0,,45,81.8,0,0.0,1,3.6
12,13.0,27.0,13.0,14.0,2020-12-14,BAL,@,CLE,"W, 47-42",*,6,2,50,25.0,1,33.3,8.3,0,0,0,,0,0,0,,52,86.7,0,0.0,0,0.0
13,14.0,28.0,14.0,15.0,2020-12-20,BAL,,JAX,"W, 40-14",*,7,6,98,16.3,0,85.7,14.0,0,0,0,,0,0,0,,52,78.8,0,0.0,0,0.0
14,15.0,29.0,15.0,16.0,2020-12-27,BAL,,NYG,"W, 27-13",,4,4,25,6.3,1,100.0,6.3,0,0,0,,0,0,0,,43,63.2,0,0.0,0,0.0
15,16.0,30.0,16.0,17.0,2021-01-03,BAL,@,CIN,"W, 38-3",*,8,5,41,8.2,2,62.5,5.1,0,0,0,,0,0,0,,43,58.1,0,0.0,0,0.0
16,,,,,,,,,11-5,,100,58,769,13.3,8,58.0,7.7,1,1,0,1.0,1,30,0,30.0,802,78.2,0,0.0,2,0.5
