,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2019,22,BAL,NFL,WR,14.0,11.0,71.0,46.0,584.0,12.7,7.0,24.0,47.9,83.0,3.3,41.7,64.8,8.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,46.0,12.7,584.0,7.0,0.0,8.0,
1,2020,23,BAL,NFL,WR,16.0,14.0,100.0,58.0,769.0,13.3,8.0,35.0,45.0,70.0,3.6,48.1,58.0,7.7,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,59.0,13.1,770.0,8.0,0.0,9.0,
2,2021,24,BAL,NFL,WR,16.0,16.0,146.0,91.0,1008.0,11.1,6.0,41.0,45.2,49.0,5.7,63.0,62.3,6.9,1.0,5.0,0.0,1.0,100.0,5.0,5.0,0.3,0.1,92.0,11.0,1013.0,6.0,3.0,8.0,
3,2022,25,ARI,NFL,WR,12.0,10.0,107.0,67.0,709.0,10.6,3.0,33.0,44.9,47.0,5.6,59.1,62.6,6.6,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,68.0,10.4,710.0,3.0,1.0,6.0,
4,2023,26,ARI,NFL,WR,14.0,14.0,101.0,51.0,574.0,11.3,4.0,32.0,42.6,41.0,3.6,41.0,50.5,5.7,2.0,23.0,0.0,1.0,50.0,29.0,11.5,1.6,0.1,53.0,11.3,597.0,4.0,0.0,6.0,
5,2024,27,KAN,NFL,WR,2.0,1.0,15.0,9.0,91.0,10.1,0.0,5.0,40.0,20.0,4.5,45.5,60.0,6.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,9.0,10.1,91.0,0.0,0.0,1.0,
6,2025,28,KAN,NFL,WR,3.0,3.0,27.0,19.0,171.0,9.0,0.0,8.0,55.6,49.0,6.3,57.0,70.4,6.3,0.0,0.0,0.0,0.0,,,,0.0,0.0,19.0,9.0,171.0,0.0,0.0,,
7,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,77.0,69.0,567.0,341.0,3906.0,11.5,28.0,178.0,45.3,83.0,4.4,50.7,60.1,6.9,5.0,30.0,0.0,2.0,40.0,29.0,6.0,0.4,0.1,346.0,11.4,3936.0,28.0,4.0,38.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,15.0,125.0,75.0,862.0,11.5,6.0,39.0,45.3,83.0,4.4,50.7,60.1,6.9,1.0,7.0,0.0,0.0,40.0,29.0,6.0,0.4,0.1,76.0,11.4,869.0,6.0,1.0,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BAL (3 Yrs),BAL (3 Yrs),BAL (3 Yrs),BAL (3 Yrs),,46.0,41.0,317.0,195.0,2361.0,12.1,21.0,100.0,45.7,83.0,4.2,51.3,61.5,7.4,2.0,6.0,0.0,1.0,50.0,5.0,3.0,0.1,0.0,197.0,12.0,2367.0,21.0,3.0,25.0,
11,ARI (2 Yrs),ARI (2 Yrs),ARI (2 Yrs),ARI (2 Yrs),,26.0,24.0,208.0,118.0,1283.0,10.9,7.0,65.0,43.8,47.0,4.5,49.3,56.7,6.2,3.0,24.0,0.0,1.0,33.3,29.0,8.0,0.9,0.1,121.0,10.8,1307.0,7.0,1.0,12.0,
12,KAN (2 Yrs),KAN (2 Yrs),KAN (2 Yrs),KAN (2 Yrs),,5.0,4.0,42.0,28.0,262.0,9.4,0.0,13.0,50.0,49.0,5.6,52.4,66.7,6.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,28.0,9.4,262.0,0.0,0.0,1.0,
