,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,47.0,1.0,1.0,2022-09-11,ARI,,KAN,"L, 21-44",*,6,4,43,10.8,1,66.7,7.2,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,95.4,0,0.0,0,0.0
1,2.0,48.0,2.0,2.0,2022-09-18,ARI,@,LVR,"W, 29-23 (OT)",*,11,6,68,11.3,0,54.5,6.2,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,81,93.1,0,0.0,0,0.0
2,3.0,49.0,3.0,3.0,2022-09-25,ARI,,LAR,"L, 12-20",*,17,14,140,10.0,0,82.4,8.2,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,79,95.2,0,0.0,0,0.0
3,4.0,50.0,4.0,4.0,2022-10-02,ARI,@,CAR,"W, 26-16",*,11,6,88,14.7,1,54.5,8.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,71,93.4,0,0.0,0,0.0
4,5.0,51.0,5.0,5.0,2022-10-09,ARI,,PHI,"L, 17-20",*,10,8,78,9.8,1,80.0,7.8,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,67,97.1,0,0.0,0,0.0
5,6.0,52.0,6.0,6.0,2022-10-16,ARI,@,SEA,"L, 9-19",*,9,5,68,13.6,0,55.6,7.6,0,0,0,,0.0,1,1,0,0,0,0,1,0,0,0,0,0,68,95.8,0,0.0,0,0.0
6,6.0,,7.0,7.0,2022-10-20,ARI,,NOR,"W, 42-34",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,6.0,,8.0,8.0,2022-10-30,ARI,@,MIN,"L, 26-34",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,6.0,,9.0,9.0,2022-11-06,ARI,,SEA,"L, 21-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,6.0,,10.0,10.0,2022-11-13,ARI,@,LAR,"W, 27-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,6.0,,11.0,11.0,2022-11-21,ARI,,SFO,"L, 10-38",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,7.0,53.0,12.0,12.0,2022-11-27,ARI,,LAC,"L, 24-25",*,8,6,46,7.7,0,75.0,5.8,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,64,97.0,0,0.0,0,0.0
12,8.0,54.0,13.0,14.0,2022-12-12,ARI,,NWE,"L, 13-27",*,8,4,34,8.5,0,50.0,4.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,72,96.0,0,0.0,0,0.0
13,9.0,55.0,14.0,15.0,2022-12-18,ARI,@,DEN,"L, 15-24",*,8,4,19,4.8,0,50.0,2.4,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,58,89.2,0,0.0,0,0.0
14,10.0,56.0,15.0,16.0,2022-12-25,ARI,,TAM,"L, 16-19 (OT)",,6,3,57,19.0,0,50.0,9.5,1,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50,65.8,0,0.0,0,0.0
15,11.0,57.0,16.0,17.0,2023-01-01,ARI,@,ATL,"L, 19-20",*,9,6,61,10.2,0,66.7,6.8,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,67,90.5,0,0.0,0,0.0
16,12.0,58.0,17.0,18.0,2023-01-08,ARI,@,SFO,"L, 13-38",,4,1,7,7.0,0,25.0,1.8,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,84.6,0,0.0,0,0.0
17,,,,,,,,,2-10,,107,67,709,10.6,3,62.6,6.6,1,1,0,1.0,0.0,3,3,0,0,0,0,1,0,0,0,0,0,783,91.2,0,0.0,0,0.0
