,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2017,22,KAN,NFL,RB,16.0,16.0,272.0,1327.0,8.0,63.0,43.8,69.0,4.9,82.9,17.0,63.0,53.0,455.0,8.6,3.0,17.0,49.2,78.0,3.3,28.4,84.1,7.2,325.0,5.5,1782.0,11.0,1.0,15.0,"PB,AP ORoY-2"
1,2018,23,KAN,NFL,RB,11.0,11.0,181.0,824.0,7.0,46.0,51.9,45.0,4.6,74.9,16.5,35.0,26.0,378.0,14.5,7.0,16.0,62.9,67.0,2.4,34.4,74.3,10.8,207.0,5.8,1202.0,14.0,0.0,11.0,
2,2019,24,CLE,NFL,RB,8.0,3.0,43.0,179.0,2.0,8.0,53.5,16.0,4.2,22.4,5.4,44.0,37.0,285.0,7.7,1.0,17.0,52.3,29.0,4.6,35.6,84.1,6.5,80.0,5.8,464.0,3.0,1.0,3.0,
3,2020,25,CLE,NFL,RB,16.0,5.0,198.0,841.0,6.0,44.0,48.0,33.0,4.2,52.6,12.4,51.0,38.0,304.0,8.0,5.0,19.0,54.9,26.0,2.4,19.0,74.5,6.0,236.0,4.9,1145.0,11.0,2.0,9.0,
4,2021,26,CLE,NFL,RB,8.0,1.0,78.0,386.0,5.0,22.0,47.4,33.0,4.9,48.3,9.8,27.0,22.0,174.0,7.9,0.0,10.0,51.9,23.0,2.8,21.8,81.5,6.4,100.0,5.6,560.0,5.0,0.0,4.0,
5,2022,27,CLE,NFL,RB,17.0,0.0,123.0,468.0,3.0,30.0,48.0,24.0,3.8,27.5,7.2,44.0,35.0,210.0,6.0,1.0,11.0,38.6,24.0,2.1,12.4,79.5,4.8,158.0,4.3,678.0,4.0,1.0,5.0,
6,2023,28,CLE,NFL,RB,15.0,2.0,135.0,411.0,9.0,38.0,45.9,16.0,3.0,27.4,9.0,21.0,15.0,84.0,5.6,0.0,5.0,38.1,13.0,1.0,5.6,71.4,4.0,150.0,3.3,495.0,9.0,0.0,3.0,
7,2024,29,KAN,NFL,RB,13.0,8.0,200.0,728.0,7.0,42.0,55.5,20.0,3.6,56.0,15.4,32.0,23.0,176.0,7.7,0.0,10.0,53.1,26.0,1.8,13.5,71.9,5.5,223.0,4.1,904.0,7.0,0.0,5.0,
8,2025,30,KAN,NFL,RB,3.0,0.0,23.0,81.0,1.0,7.0,52.2,11.0,3.5,27.0,7.7,5.0,4.0,23.0,5.8,0.0,2.0,40.0,10.0,1.3,7.7,80.0,4.6,27.0,3.9,104.0,1.0,1.0,,
9,9 Yrs,9 Yrs,9 Yrs,9 Yrs,,107.0,46.0,1253.0,5245.0,48.0,300.0,48.8,69.0,4.2,49.0,11.7,322.0,253.0,2089.0,8.3,17.0,107.0,50.3,78.0,2.4,19.5,78.6,6.5,1506.0,4.9,7334.0,65.0,6.0,55.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,7.0,199.0,833.0,8.0,48.0,48.8,69.0,4.2,49.0,11.7,51.0,40.0,332.0,8.3,3.0,17.0,50.3,78.0,2.4,19.5,78.6,6.5,239.0,4.9,1165.0,10.0,1.0,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CLE (5 Yrs),CLE (5 Yrs),CLE (5 Yrs),CLE (5 Yrs),,64.0,11.0,577.0,2285.0,25.0,142.0,47.8,33.0,4.0,35.7,9.0,187.0,147.0,1057.0,7.2,7.0,62.0,48.1,29.0,2.3,16.5,78.6,5.7,724.0,4.6,3342.0,32.0,4.0,24.0,
13,KAN (4 Yrs),KAN (4 Yrs),KAN (4 Yrs),KAN (4 Yrs),,43.0,35.0,676.0,2960.0,23.0,158.0,49.7,69.0,4.4,68.8,15.7,135.0,106.0,1032.0,9.7,10.0,45.0,53.3,78.0,2.5,24.0,78.5,7.6,782.0,5.1,3992.0,33.0,2.0,31.0,
