,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Cmp,Att.1,Yds.2,TD.2,Int,Sk,Yds.3,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2019-09-08,CLE,,TEN,"L, 13-43",Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
1,,,2.0,2.0,2019-09-16,CLE,@,NYJ,"W, 23-3",Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
2,,,3.0,3.0,2019-09-22,CLE,,LAR,"L, 13-20",Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
3,,,4.0,4.0,2019-09-29,CLE,@,BAL,"W, 40-25",Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
4,,,5.0,5.0,2019-10-07,CLE,@,SFO,"L, 3-31",Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
5,,,6.0,6.0,2019-10-13,CLE,,SEA,"L, 28-32",Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
6,,,7.0,8.0,2019-10-27,CLE,@,NWE,"L, 13-27",Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
7,,,8.0,9.0,2019-11-03,CLE,@,DEN,"L, 19-24",Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended,Suspended
8,1.0,28.0,9.0,10.0,2019-11-10,CLE,,BUF,"W, 19-16",,4,30,0,7.5,9,7,44,6.3,0,77.8,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,38,55.1,0,0.0,0,0.0
9,2.0,29.0,10.0,11.0,2019-11-14,CLE,,PIT,"W, 21-7",,6,12,0,2.0,8,6,46,7.7,0,75.0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,38,54.3,0,0.0,0,0.0
10,3.0,30.0,11.0,12.0,2019-11-24,CLE,,MIA,"W, 41-24",,8,37,1,4.6,3,2,9,4.5,0,66.7,3.0,0,0,0,0,0,0,0,1,0,0,0,-6,0,42,56.0,0,0.0,0,0.0
11,4.0,31.0,12.0,13.0,2019-12-01,CLE,@,PIT,"L, 13-20",,7,46,0,6.6,5,5,19,3.8,1,100.0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,44,66.7,0,0.0,0,0.0
12,5.0,32.0,13.0,14.0,2019-12-08,CLE,,CIN,"W, 27-19",*,9,28,1,3.1,2,2,40,20.0,0,100.0,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,63.0,0,0.0,0,0.0
13,6.0,33.0,14.0,15.0,2019-12-15,CLE,@,ARI,"L, 24-38",*,4,14,0,3.5,9,8,62,7.8,0,88.9,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,43,61.4,0,0.0,0,0.0
14,7.0,34.0,15.0,16.0,2019-12-22,CLE,,BAL,"L, 15-31",,2,8,0,4.0,4,4,33,8.3,0,100.0,8.3,0,0,0,0,0,1,8,0,0,0,0,0,0,34,56.7,0,0.0,0,0.0
15,8.0,35.0,16.0,17.0,2019-12-29,CLE,@,CIN,"L, 23-33",*,3,4,0,1.3,4,3,32,10.7,0,75.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,66.7,0,0.0,0,0.0
16,,,,,,,,,4-4,,43,179,2,4.2,44,37,285,7.7,1,84.1,6.5,0,0,0,0,0,1,8,1,0,0,0,-6,0,309,59.7,0,0.0,0,0.0
