,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2018-09-09,SEA,@,DEN,"L, 24-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,1.0,21.0,2.0,2.0,2018-09-17,SEA,@,CHI,"L, 17-24",,3,3,0,1.0,1,1,-1,-1.0,0,100.0,-1.0,0.0,0,0,0,0,0,0,9,13.6,0,0.0,17,63.0
2,2.0,22.0,3.0,3.0,2018-09-23,SEA,,DAL,"W, 24-13",,0,0,0,,1,1,7,7.0,0,100.0,7.0,0.0,1,1,0,0,0,0,8,11.6,0,0.0,10,34.5
3,3.0,23.0,4.0,4.0,2018-09-30,SEA,@,ARI,"W, 20-17",*,21,101,2,4.8,4,4,23,5.8,0,100.0,5.8,0.0,0,0,0,0,0,0,47,71.2,0,0.0,3,10.7
4,4.0,24.0,5.0,5.0,2018-10-07,SEA,,LAR,"L, 31-33",,12,68,1,5.7,2,2,7,3.5,0,100.0,3.5,0.0,0,0,0,0,0,0,25,41.7,0,0.0,8,26.7
5,5.0,25.0,6.0,6.0,2018-10-14,SEA,@,OAK,"W, 27-3",,6,21,0,3.5,3,1,5,5.0,0,33.3,1.7,0.0,0,0,0,0,0,0,24,36.9,0,0.0,0,0.0
6,6.0,26.0,7.0,8.0,2018-10-28,SEA,@,DET,"W, 28-14",,10,33,0,3.3,1,1,2,2.0,0,100.0,2.0,0.0,0,0,0,0,0,0,20,31.7,0,0.0,0,0.0
7,7.0,27.0,8.0,9.0,2018-11-04,SEA,,LAC,"L, 17-25",,15,62,0,4.1,8,7,45,6.4,0,87.5,5.6,0.0,0,0,0,0,0,0,58,71.6,0,0.0,0,0.0
8,8.0,28.0,9.0,10.0,2018-11-11,SEA,@,LAR,"L, 31-36",*,11,58,0,5.3,6,4,22,5.5,1,66.7,3.7,0.0,0,0,0,0,0,0,39,57.4,0,0.0,0,0.0
9,9.0,29.0,10.0,11.0,2018-11-15,SEA,,GNB,"W, 27-24",,4,26,0,6.5,2,2,24,12.0,0,100.0,12.0,0.0,0,0,0,0,0,0,22,31.4,0,0.0,0,0.0
10,10.0,30.0,11.0,12.0,2018-11-25,SEA,@,CAR,"W, 30-27",,4,14,0,3.5,1,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,18,29.0,0,0.0,0,0.0
11,11.0,31.0,12.0,13.0,2018-12-02,SEA,,SFO,"W, 43-16",,4,10,0,2.5,0,0,0,,0,,,0.0,0,0,0,0,0,0,10,17.2,0,0.0,0,0.0
12,12.0,32.0,13.0,14.0,2018-12-10,SEA,,MIN,"W, 21-7",,3,22,0,7.3,1,1,5,5.0,0,100.0,5.0,0.0,0,0,0,0,0,0,18,27.3,0,0.0,0,0.0
13,13.0,33.0,14.0,15.0,2018-12-16,SEA,@,SFO,"L, 23-26 (OT)",,5,21,0,4.2,8,8,63,7.9,0,100.0,7.9,0.0,0,0,0,0,0,0,33,44.0,0,0.0,0,0.0
14,14.0,34.0,15.0,16.0,2018-12-23,SEA,,KAN,"W, 38-31",,7,31,0,4.4,1,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,35,43.8,0,0.0,0,0.0
15,15.0,35.0,16.0,17.0,2018-12-30,SEA,,ARI,"W, 27-24",,7,44,1,6.3,3,2,12,6.0,0,66.7,4.0,0.0,0,0,0,0,0,0,25,39.7,0,0.0,0,0.0
16,,,,,,,,,10-5,,112,514,4,4.6,42,34,214,6.3,1,81.0,5.1,0.0,1,1,0,0,0,0,391,38.6,0,0.0,38,8.9
