,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2017,21,CLE,NFL,TE,16,5,60,32,386,12.1,4,17,38.3,34,2.0,24.1,53.3,6.4,1,1,0,0,0.0,1.0,1.0,0.1,0.1,33,11.7,387,4,0,2.0,
1,2018,22,CLE,NFL,TE,16,14,88,56,639,11.4,4,27,45.5,66,3.5,39.9,63.6,7.3,0,0,0,0,,,,0.0,0.0,56,11.4,639,4,0,5.0,
2,2019,23,CLE,NFL,TE,4,1,10,5,41,8.2,1,3,30.0,18,1.3,10.3,50.0,4.1,0,0,0,0,,,,0.0,0.0,5,8.2,41,1,0,0.0,
3,2020,24,CLE,NFL,TE,13,5,29,19,213,11.2,2,13,58.6,28,1.5,16.4,65.5,7.3,0,0,0,0,,,,0.0,0.0,19,11.2,213,2,0,2.0,
4,2021,25,CLE,NFL,TE,16,11,53,36,475,13.2,4,17,56.6,71,2.3,29.7,67.9,9.0,1,1,0,0,0.0,1.0,1.0,0.1,0.1,37,12.9,476,4,0,4.0,
5,2022,26,CLE,NFL,TE,14,14,80,58,628,10.8,4,36,61.3,38,4.1,44.9,72.5,7.9,2,-8,0,0,0.0,-2.0,-4.0,-0.6,0.1,60,10.3,620,4,1,6.0,
6,2023,27,CLE,NFL,TE,16,16,123,81,882,10.9,6,35,43.9,43,5.1,55.1,65.9,7.2,0,0,0,0,,,,0.0,0.0,81,10.9,882,6,2,7.0,PB
7,2024,28,CLE,NFL,TE,11,11,97,64,505,7.9,5,23,39.2,29,5.8,45.9,66.0,5.2,0,0,0,0,,,,0.0,0.0,64,7.9,505,5,0,3.0,
8,2025,29,CLE,NFL,TE,3,3,18,12,117,9.8,0,4,50.0,23,4.0,39.0,66.7,6.5,0,0,0,0,,,,0.0,0.0,12,9.8,117,0,0,,
9,9 Yrs,9 Yrs,9 Yrs,9 Yrs,,109,80,558,363,3886,10.7,30,175,47.1,71,3.3,35.7,65.1,7.0,4,-6,0,0,0.0,1.0,-1.5,-0.1,0.0,367,10.6,3880,30,3,29.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,12,87,57,606,10.7,5,27,47.1,71,3.3,35.7,65.1,7.0,1,-1,0,0,0.0,1.0,-1.5,-0.1,0.0,57,10.6,605,5,0,,
