,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2019-09-08,KAN,@,JAX,"W, 40-26",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,3,4.4,0,0.0,17,56.7
1,2.0,2.0,2.0,2.0,2019-09-15,KAN,@,OAK,"W, 28-10",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,4,5.3,0,0.0,18,72.0
2,3.0,3.0,3.0,3.0,2019-09-22,KAN,,BAL,"W, 33-28",,1,1,7,7.0,0,100.0,7.0,0,0,0,,0.0,0,0,0,0,0,0,2,2.9,0,0.0,16,59.3
3,4.0,4.0,4.0,4.0,2019-09-29,KAN,@,DET,"W, 34-30",,1,1,13,13.0,0,100.0,13.0,2,41,0,20.5,0.0,0,0,0,0,0,0,3,4.4,0,0.0,13,40.6
4,5.0,5.0,5.0,5.0,2019-10-06,KAN,,IND,"L, 13-19",,8,6,103,17.2,1,75.0,12.9,0,0,0,,0.0,0,0,0,0,0,0,47,77.0,0,0.0,9,36.0
5,6.0,6.0,6.0,6.0,2019-10-13,KAN,,HOU,"L, 24-31",,4,2,24,12.0,0,50.0,6.0,0,0,0,,0.0,0,0,0,0,0,0,33,60.0,0,0.0,1,4.3
6,7.0,7.0,7.0,7.0,2019-10-17,KAN,@,DEN,"W, 30-6",,0,0,0,,0,,,0,0,0,,0.0,2,2,0,0,0,0,14,23.0,0,0.0,23,76.7
7,8.0,8.0,8.0,8.0,2019-10-27,KAN,,GNB,"L, 24-31",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,17,63.0
8,9.0,9.0,9.0,9.0,2019-11-03,KAN,,MIN,"W, 26-23",,0,0,0,,0,,,0,0,0,,0.0,1,0,1,0,0,0,0,0.0,0,0.0,23,67.6
9,10.0,10.0,10.0,10.0,2019-11-10,KAN,@,TEN,"L, 32-35",,0,0,0,,0,,,0,0,0,,0.0,1,0,1,0,0,0,3,3.7,0,0.0,19,59.4
10,11.0,11.0,11.0,11.0,2019-11-18,KAN,@,LAC,"W, 24-17",,1,1,9,9.0,0,100.0,9.0,0,0,0,,0.0,1,0,1,0,0,0,11,16.4,0,0.0,18,66.7
11,12.0,12.0,12.0,13.0,2019-12-01,KAN,,OAK,"W, 40-9",,0,0,0,,0,,,0,0,0,,0.0,1,1,0,0,0,0,5,7.7,0,0.0,14,60.9
12,13.0,13.0,13.0,14.0,2019-12-08,KAN,@,NWE,"W, 23-16",,1,1,14,14.0,0,100.0,14.0,0,0,0,,0.0,0,0,0,0,0,0,1,1.3,0,0.0,18,69.2
13,14.0,14.0,14.0,15.0,2019-12-15,KAN,,DEN,"W, 23-3",,0,0,0,,0,,,0,0,0,,0.0,1,1,0,0,0,0,6,8.8,0,0.0,13,72.2
14,15.0,15.0,15.0,16.0,2019-12-22,KAN,@,CHI,"W, 26-3",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,4,6.1,0,0.0,14,70.0
15,16.0,16.0,16.0,17.0,2019-12-29,KAN,,LAC,"W, 31-21",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,7,13.7,0,0.0,15,65.2
16,,,,,,,,,12-4,,16,12,170,14.2,1,75.0,10.6,2,41,0,20.5,0.0,7,4,3,0,0,0,143,13.6,0,0.0,248,58.8
