,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2020-09-10,KAN,,HOU,"W, 34-20",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,6,8.7,0,0.0,16,64.0
1,2.0,18.0,2.0,2.0,2020-09-20,KAN,@,LAC,"W, 23-20 (OT)",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,7,9.1,0,0.0,18,64.3
2,3.0,19.0,3.0,3.0,2020-09-28,KAN,@,BAL,"W, 34-20",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,3,4.0,0,0.0,15,60.0
3,4.0,20.0,4.0,4.0,2020-10-05,KAN,,NWE,"W, 26-10",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,15,65.2
4,5.0,21.0,5.0,5.0,2020-10-11,KAN,,LVR,"L, 32-40",,1,1,23,23.0,0,100.0,23.0,0,0,0,,0.0,0,0,0,0,0,0,10,13.9,0,0.0,21,65.6
5,6.0,22.0,6.0,6.0,2020-10-19,KAN,@,BUF,"W, 26-17",,2,2,46,23.0,0,100.0,23.0,0,0,0,,0.0,1,1,0,0,0,0,28,38.4,0,0.0,16,64.0
6,7.0,23.0,7.0,7.0,2020-10-25,KAN,@,DEN,"W, 43-16",,0,0,0,,0,,,1,102,1,102.0,0.0,0,0,0,0,0,0,31,60.8,0,0.0,7,23.3
7,8.0,24.0,8.0,8.0,2020-11-01,KAN,,NYJ,"W, 35-9",*,4,3,22,7.3,0,75.0,5.5,3,78,0,26.0,0.0,0,0,0,0,0,0,37,56.1,0,0.0,8,27.6
8,9.0,25.0,9.0,9.0,2020-11-08,KAN,,CAR,"W, 33-31",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,19,30.6,0,0.0,8,25.8
9,10.0,26.0,10.0,11.0,2020-11-22,KAN,@,LVR,"W, 35-31",*,4,3,17,5.7,0,75.0,4.3,3,67,0,22.3,0.0,0,0,0,0,0,0,40,51.3,0,0.0,4,15.4
10,10.0,,11.0,12.0,2020-11-29,KAN,@,TAM,"W, 27-24",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
11,10.0,,12.0,13.0,2020-12-06,KAN,,DEN,"W, 22-16",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
12,10.0,,13.0,14.0,2020-12-13,KAN,@,MIA,"W, 33-27",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
13,11.0,27.0,14.0,15.0,2020-12-20,KAN,@,NOR,"W, 32-29",,0,0,0,,0,,,0,0,0,,0.0,1,1,0,0,0,0,6,6.1,0,0.0,26,76.5
14,12.0,28.0,15.0,16.0,2020-12-27,KAN,,ATL,"W, 17-14",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,7,10.4,0,0.0,16,72.7
15,13.0,29.0,16.0,17.0,2021-01-03,KAN,,LAC,"L, 21-38",*,6,4,52,13.0,1,66.7,8.7,3,77,0,25.7,0.0,0,0,0,0,0,0,45,84.9,0,0.0,15,68.2
16,,,,,,,,,11-2,,17,13,160,12.3,1,76.5,9.4,10,324,1,32.4,0.0,2,2,0,0,0,0,239,26.6,0,0.0,185,52.6
