,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2020,22,WAS,NFL,RB,14.0,10.0,170.0,795.0,11.0,40.0,51.8,40.0,4.7,56.8,12.1,44.0,36.0,247.0,6.9,0.0,8.0,43.2,40.0,2.6,17.6,81.8,5.6,206.0,5.1,1042.0,11.0,1.0,6.0,
1,2021,23,WAS,NFL,RB,16.0,14.0,258.0,1037.0,7.0,65.0,51.2,27.0,4.0,64.8,16.1,52.0,42.0,294.0,7.0,3.0,12.0,50.0,73.0,2.6,18.4,80.8,5.7,300.0,4.4,1331.0,10.0,6.0,8.0,
2,2022,24,WAS,NFL,RB,15.0,6.0,149.0,546.0,3.0,32.0,49.7,20.0,3.7,36.4,9.9,58.0,46.0,353.0,7.7,2.0,18.0,46.6,26.0,3.1,23.5,79.3,6.1,195.0,4.6,899.0,5.0,1.0,6.0,
3,2023,25,WAS,NFL,RB,16.0,2.0,65.0,265.0,1.0,13.0,43.1,16.0,4.1,16.6,4.1,59.0,48.0,389.0,8.1,2.0,19.0,44.1,41.0,3.0,24.3,81.4,6.6,113.0,5.8,654.0,3.0,4.0,5.0,
4,2024,26,NWE,NFL,RB,17.0,3.0,120.0,538.0,1.0,24.0,45.0,45.0,4.5,31.6,7.1,29.0,23.0,206.0,9.0,0.0,11.0,51.7,50.0,1.4,12.1,79.3,7.1,143.0,5.2,744.0,1.0,2.0,5.0,
5,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,78.0,35.0,762.0,3181.0,23.0,174.0,49.3,45.0,4.2,40.8,9.8,242.0,195.0,1489.0,7.6,7.0,68.0,46.7,73.0,2.5,19.1,80.6,6.2,957.0,4.9,4670.0,30.0,14.0,30.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,8.0,166.0,693.0,5.0,38.0,49.3,45.0,4.2,40.8,9.8,53.0,43.0,325.0,7.6,2.0,15.0,46.7,73.0,2.5,19.1,80.6,6.2,209.0,1.1,1018.0,7.0,3.0,7.0,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WAS (4 Yrs),WAS (4 Yrs),WAS (4 Yrs),WAS (4 Yrs),,61.0,32.0,642.0,2643.0,22.0,150.0,50.2,40.0,4.1,43.3,10.5,213.0,172.0,1283.0,7.5,7.0,57.0,46.0,73.0,2.8,21.0,80.8,6.0,814.0,4.8,3926.0,29.0,12.0,25.0,
9,NWE (1 Yr),NWE (1 Yr),NWE (1 Yr),NWE (1 Yr),,17.0,3.0,120.0,538.0,1.0,24.0,45.0,45.0,4.5,31.6,7.1,29.0,23.0,206.0,9.0,0.0,11.0,51.7,50.0,1.4,12.1,79.3,7.1,143.0,5.2,744.0,1.0,2.0,5.0,
