,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,34.0,1.0,1.0,2025-09-07,GNB,,DET,"W, 27-13",,5,3,45,15.0,1,60.0,9.0,2,21,0,10.5,18,37.5,0,0.0,3,12.5
1,2.0,35.0,2.0,2.0,2025-09-11,GNB,,WAS,"W, 27-18",*,0,0,0,,0,,,0,0,0,,5,7.4,0,0.0,0,0.0
2,,,,,,,,,2-0,,5,3,45,15.0,1,60.0,9.0,2,21,0,10.5,23,19.8,0,0.0,3,5.8
