,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Fmb,FR,Yds,FRTD
0,1.0,40.0,1.0,1.0,1984-09-02,WAS,,MIA,"L, 17-35",*,0,0,0,0
1,2.0,41.0,2.0,2.0,1984-09-10,WAS,@,SFO,"L, 31-37",*,0,0,0,0
2,3.0,42.0,3.0,3.0,1984-09-16,WAS,,NYG,"W, 30-14",*,0,0,0,0
3,4.0,43.0,4.0,4.0,1984-09-23,WAS,@,NWE,"W, 26-10",*,0,0,0,0
4,5.0,44.0,5.0,5.0,1984-09-30,WAS,,PHI,"W, 20-0",*,0,0,0,0
5,6.0,45.0,6.0,6.0,1984-10-07,WAS,@,IND,"W, 35-7",*,0,0,0,0
6,7.0,46.0,7.0,7.0,1984-10-14,WAS,,DAL,"W, 34-14",*,0,0,0,0
7,8.0,47.0,8.0,8.0,1984-10-21,WAS,@,STL,"L, 24-26",*,0,0,0,0
8,9.0,48.0,9.0,9.0,1984-10-28,WAS,@,NYG,"L, 13-37",*,0,0,0,0
9,10.0,49.0,10.0,10.0,1984-11-05,WAS,,ATL,"W, 27-14",*,0,0,0,0
10,11.0,50.0,11.0,11.0,1984-11-11,WAS,,DET,"W, 28-14",*,0,0,0,0
11,12.0,51.0,12.0,12.0,1984-11-18,WAS,@,PHI,"L, 10-16",*,0,0,0,0
12,13.0,52.0,13.0,13.0,1984-11-25,WAS,,BUF,"W, 41-14",*,0,0,0,0
13,14.0,53.0,14.0,14.0,1984-11-29,WAS,@,MIN,"W, 31-17",*,0,0,0,1
14,15.0,54.0,15.0,15.0,1984-12-09,WAS,@,DAL,"W, 30-28",*,0,0,0,0
15,16.0,55.0,16.0,16.0,1984-12-16,WAS,,STL,"W, 29-27",*,0,0,0,0
16,,,,,,,,,11-5,,0,0,0,1
