,1,153,1.1,1.2,1992-09-07,WAS,@,DAL,"L, 10-23",*
0,2.0,154.0,2.0,2.0,1992-09-13,WAS,,ATL,"W, 24-17",*
1,3.0,155.0,3.0,3.0,1992-09-20,WAS,,DET,"W, 13-10",*
2,4.0,156.0,4.0,5.0,1992-10-04,WAS,@,PHO,"L, 24-27",*
3,5.0,157.0,5.0,6.0,1992-10-12,WAS,,DEN,"W, 34-3",*
4,6.0,158.0,6.0,7.0,1992-10-18,WAS,,PHI,"W, 16-12",*
5,7.0,159.0,7.0,8.0,1992-10-25,WAS,@,MIN,"W, 15-13",*
6,8.0,160.0,8.0,9.0,1992-11-01,WAS,,NYG,"L, 7-24",*
7,9.0,161.0,9.0,10.0,1992-11-08,WAS,@,SEA,"W, 16-3",
8,10.0,162.0,10.0,11.0,1992-11-15,WAS,@,KAN,"L, 16-35",*
9,10.0,,11.0,12.0,1992-11-23,WAS,@,NOR,"L, 3-20",Inactive
10,10.0,,12.0,13.0,1992-11-29,WAS,,PHO,"W, 41-3",Did Not Play
11,11.0,163.0,13.0,14.0,1992-12-06,WAS,@,NYG,"W, 28-10",
12,12.0,164.0,14.0,15.0,1992-12-13,WAS,,DAL,"W, 20-17",
13,12.0,,15.0,16.0,1992-12-20,WAS,@,PHI,"L, 13-17",Did Not Play
14,13.0,165.0,16.0,17.0,1992-12-26,WAS,,RAI,"L, 20-21",
15,,,,,,,,,8-5,
