,1,83,1.1,1.2,1987-09-13,WAS,Unnamed: 6,PHI,"W, 34-24",*
0,2.0,84.0,2.0,2.0,1987-09-20,WAS,@,ATL,"L, 20-21",*
1,3.0,85.0,6.0,7.0,1987-10-25,WAS,,NYJ,"W, 17-16",*
2,4.0,86.0,7.0,8.0,1987-11-01,WAS,@,BUF,"W, 27-7",*
3,5.0,87.0,8.0,9.0,1987-11-08,WAS,@,PHI,"L, 27-31",*
4,6.0,88.0,9.0,10.0,1987-11-15,WAS,,DET,"W, 20-13",*
5,7.0,89.0,10.0,11.0,1987-11-23,WAS,,RAM,"L, 26-30",*
6,8.0,90.0,11.0,12.0,1987-11-29,WAS,,NYG,"W, 23-19",*
7,9.0,91.0,12.0,13.0,1987-12-06,WAS,@,STL,"W, 34-17",*
8,10.0,92.0,13.0,14.0,1987-12-13,WAS,,DAL,"W, 24-20",*
9,11.0,93.0,14.0,15.0,1987-12-20,WAS,@,MIA,"L, 21-23",*
10,12.0,94.0,15.0,16.0,1987-12-26,WAS,@,MIN,"W, 27-24 (OT)",*
11,,,,,,,,,8-4,
