,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Fmb,FR,Yds,FRTD
0,1.0,15.0,1.0,1.0,1982-09-12,WAS,@,PHI,"W, 37-34 (OT)",*,0,0,0,0
1,2.0,16.0,2.0,2.0,1982-09-19,WAS,@,TAM,"W, 21-13",*,0,0,0,0
2,3.0,17.0,3.0,11.0,1982-11-21,WAS,@,NYG,"W, 27-17",*,0,0,0,0
3,4.0,18.0,4.0,12.0,1982-11-28,WAS,,PHI,"W, 13-9",*,0,0,0,0
4,5.0,19.0,5.0,13.0,1982-12-05,WAS,,DAL,"L, 10-24",*,0,0,0,0
5,6.0,20.0,6.0,14.0,1982-12-12,WAS,@,STL,"W, 12-7",*,0,0,0,0
6,7.0,21.0,7.0,15.0,1982-12-19,WAS,,NYG,"W, 15-14",*,0,0,0,0
7,8.0,22.0,8.0,16.0,1982-12-26,WAS,@,NOR,"W, 27-10",*,0,0,0,0
8,9.0,23.0,9.0,17.0,1983-01-02,WAS,,STL,"W, 28-0",*,0,0,0,0
9,,,,,,,,,8-1,,0,0,0,0
