,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Fmb,FR,Yds,FRTD
0,1.0,95.0,1.0,1.0,1988-09-05,WAS,@,NYG,"L, 20-27",*,0,0,0,0
1,2.0,96.0,2.0,2.0,1988-09-11,WAS,,PIT,"W, 30-29",*,0,0,0,0
2,3.0,97.0,3.0,3.0,1988-09-18,WAS,,PHI,"W, 17-10",*,0,0,0,0
3,4.0,98.0,4.0,4.0,1988-09-25,WAS,@,PHO,"L, 21-30",*,0,0,0,0
4,5.0,99.0,5.0,5.0,1988-10-02,WAS,,NYG,"L, 23-24",*,0,1,0,0
5,6.0,100.0,6.0,6.0,1988-10-09,WAS,@,DAL,"W, 35-17",*,0,0,0,0
6,7.0,101.0,7.0,7.0,1988-10-16,WAS,,PHO,"W, 33-17",*,0,0,0,0
7,8.0,102.0,8.0,8.0,1988-10-23,WAS,@,GNB,"W, 20-17",*,0,0,0,0
8,9.0,103.0,9.0,9.0,1988-10-30,WAS,@,HOU,"L, 17-41",*,0,0,0,0
9,10.0,104.0,10.0,10.0,1988-11-06,WAS,,NOR,"W, 27-24",,0,0,0,0
10,11.0,105.0,11.0,11.0,1988-11-13,WAS,,CHI,"L, 14-34",,0,0,0,0
11,12.0,106.0,12.0,12.0,1988-11-21,WAS,@,SFO,"L, 21-37",,0,0,0,0
12,13.0,107.0,13.0,13.0,1988-11-27,WAS,,CLE,"L, 13-17",*,0,0,0,0
13,14.0,108.0,14.0,14.0,1988-12-04,WAS,@,PHI,"W, 20-19",*,0,0,0,0
14,15.0,109.0,15.0,15.0,1988-12-11,WAS,,DAL,"L, 17-24",*,0,0,0,0
15,16.0,110.0,16.0,16.0,1988-12-17,WAS,@,CIN,"L, 17-20 (OT)",*,0,0,0,0
16,,,,,,,,,7-9,,0,1,0,0
