,1,56,1.1,1.2,1985-09-09,WAS,@,DAL,"L, 14-44",*
0,2.0,57.0,2.0,2.0,1985-09-15,WAS,,HOU,"W, 16-13",*
1,3.0,58.0,3.0,3.0,1985-09-22,WAS,,PHI,"L, 6-19",*
2,4.0,59.0,4.0,4.0,1985-09-29,WAS,@,CHI,"L, 10-45",*
3,5.0,60.0,5.0,5.0,1985-10-07,WAS,,STL,"W, 27-10",*
4,6.0,61.0,6.0,6.0,1985-10-13,WAS,,DET,"W, 24-3",*
5,7.0,62.0,8.0,8.0,1985-10-27,WAS,@,CLE,"W, 14-7",*
6,8.0,63.0,13.0,13.0,1985-12-01,WAS,,SFO,"L, 8-35",*
7,9.0,64.0,14.0,14.0,1985-12-08,WAS,@,PHI,"W, 17-12",*
8,10.0,65.0,15.0,15.0,1985-12-15,WAS,,CIN,"W, 27-24",*
9,11.0,66.0,16.0,16.0,1985-12-21,WAS,@,STL,"W, 27-16",*
10,,,,,,,,,7-4,
