,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Fmb,FR,Yds,FRTD
0,1.0,1.0,1.0,1.0,1981-09-06,WAS,,DAL,"L, 10-26",,0,0,0,0
1,2.0,2.0,3.0,3.0,1981-09-20,WAS,@,STL,"L, 30-40",*,0,0,0,0
2,3.0,3.0,4.0,4.0,1981-09-27,WAS,@,PHI,"L, 13-36",*,0,0,0,0
3,4.0,4.0,5.0,5.0,1981-10-04,WAS,,SFO,"L, 17-30",*,0,0,0,0
4,5.0,5.0,6.0,6.0,1981-10-11,WAS,@,CHI,"W, 24-7",*,0,0,0,0
5,6.0,6.0,7.0,7.0,1981-10-18,WAS,@,MIA,"L, 10-13",*,0,0,0,0
6,7.0,7.0,9.0,9.0,1981-11-01,WAS,,STL,"W, 42-21",*,0,0,0,0
7,8.0,8.0,10.0,10.0,1981-11-08,WAS,,DET,"W, 33-31",*,0,0,0,0
8,9.0,9.0,11.0,11.0,1981-11-15,WAS,@,NYG,"W, 30-27 (OT)",*,0,0,0,0
9,10.0,10.0,12.0,12.0,1981-11-22,WAS,@,DAL,"L, 10-24",*,0,0,0,0
10,11.0,11.0,13.0,13.0,1981-11-29,WAS,@,BUF,"L, 14-21",*,0,0,0,0
11,12.0,12.0,14.0,14.0,1981-12-06,WAS,,PHI,"W, 15-13",*,0,0,0,0
12,13.0,13.0,15.0,15.0,1981-12-13,WAS,,BAL,"W, 38-14",*,0,0,0,0
13,14.0,14.0,16.0,16.0,1981-12-20,WAS,@,RAM,"W, 30-7",*,0,0,0,0
14,,,,,,,,,7-7,,0,0,0,0
