,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds.1,1D.1,YBC.1,YBC/R,YAC.1,YAC/R,ADOT,BrkTkl.1,Rec/Br,Drop,Drop%,Int,Rat,Awards
0,2023,22,TEN,NFL,RB,17,1,100,453,24,237,2.4,216,2.2,5,20.0,70,52,385,17,-75,-1.4,460,8.8,-0.2,8,6.5,1,1.4,1,85.7,
1,2024,23,TEN,NFL,RB,12,1,84,312,19,128,1.5,184,2.2,13,6.5,35,30,224,9,-31,-1.0,255,8.5,-1.2,4,7.5,1,2.9,0,102.9,
2,2 Yrs,2 Yrs,2 Yrs,2 Yrs,,29,2,184,765,43,365,2.0,400,2.2,18,10.2,105,82,609,26,-106,-1.3,715,8.7,-0.5,12,6.8,2,1.9,1,93.2,
3,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,1,108,448,25,214,2.0,234,2.2,11,10.2,62,48,357,15,-62,-1.3,419,8.7,-0.5,7,6.8,1,1.9,1,93.2,
