,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2017-09-10,GNB,,SEA,"W, 17-9",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,1.0,1.0,2.0,2.0,2017-09-17,GNB,@,ATL,"L, 23-34",,0,0,0,,0,0,0,,0,,,0,0.0,0,0.0,8,28.6
2,2.0,2.0,3.0,3.0,2017-09-24,GNB,,CIN,"W, 27-24 (OT)",,0,0,0,,0,0,0,,0,,,0,0.0,0,0.0,12,36.4
3,3.0,3.0,4.0,4.0,2017-09-28,GNB,,CHI,"W, 35-14",,13,49,1,3.8,0,0,0,,0,,,30,54.5,0,0.0,8,30.8
4,4.0,4.0,5.0,5.0,2017-10-08,GNB,@,DAL,"W, 35-31",*,19,125,1,6.6,1,1,9,9.0,0,100.0,9.0,53,88.3,0,0.0,0,0.0
5,5.0,5.0,6.0,6.0,2017-10-15,GNB,@,MIN,"L, 10-23",,13,41,0,3.2,4,1,1,1.0,0,25.0,0.3,43,65.2,0,0.0,3,11.5
6,6.0,6.0,7.0,7.0,2017-10-22,GNB,,NOR,"L, 17-26",*,17,131,1,7.7,5,3,7,2.3,0,60.0,1.4,44,80.0,0,0.0,0,0.0
7,7.0,7.0,8.0,9.0,2017-11-06,GNB,,DET,"L, 17-30",*,5,12,0,2.4,5,2,-1,-0.5,0,40.0,-0.2,20,33.9,0,0.0,0,0.0
8,8.0,8.0,9.0,10.0,2017-11-12,GNB,@,CHI,"W, 23-16",*,3,12,0,4.0,1,1,0,0.0,0,100.0,0.0,6,9.1,0,0.0,0,0.0
9,8.0,,10.0,11.0,2017-11-19,GNB,,BAL,"L, 0-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,8.0,,11.0,12.0,2017-11-26,GNB,@,PIT,"L, 28-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,9.0,9.0,12.0,13.0,2017-12-03,GNB,,TAM,"W, 26-20 (OT)",,1,20,1,20.0,0,0,0,,0,,,2,3.6,0,0.0,0,0.0
12,10.0,10.0,13.0,14.0,2017-12-10,GNB,@,CLE,"W, 27-21 (OT)",,4,-2,0,-0.5,0,0,0,,0,,,8,10.5,0,0.0,0,0.0
13,11.0,11.0,14.0,15.0,2017-12-17,GNB,@,CAR,"L, 24-31",,3,47,0,15.7,2,1,6,6.0,0,50.0,3.0,26,37.7,0,0.0,1,3.8
14,12.0,12.0,15.0,16.0,2017-12-23,GNB,,MIN,"L, 0-16",,3,13,0,4.3,0,0,0,,0,,,4,6.0,0,0.0,0,0.0
15,12.0,,16.0,17.0,2017-12-31,GNB,@,DET,"L, 11-35",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,,,,,,,,6-6,,81,448,4,5.5,18,9,22,2.4,0,50.0,1.2,236,30.5,0,0.0,32,10.1
