,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,48.0,1.0,1.0,2021-09-12,ATL,,PHI,"L, 6-32",,2,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,68.1,0,0.0,0,0.0
1,2.0,49.0,2.0,2.0,2021-09-19,ATL,@,TAM,"L, 25-48",,7,5,28,5.6,0,71.4,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,38,52.8,0,0.0,0,0.0
2,2.0,,3.0,3.0,2021-09-26,ATL,@,NYG,"W, 17-14",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2.0,,4.0,4.0,2021-10-03,ATL,,WAS,"L, 30-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,2.0,,5.0,5.0,2021-10-10,ATL,,NYJ,"W, 27-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,3.0,50.0,6.0,7.0,2021-10-24,ATL,@,MIA,"W, 30-28",*,6,4,67,16.8,1,66.7,11.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40,63.5,0,0.0,0,0.0
6,4.0,51.0,7.0,8.0,2021-10-31,ATL,,CAR,"L, 13-19",,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,36,67.9,0,0.0,1,3.8
7,5.0,52.0,8.0,9.0,2021-11-07,ATL,@,NOR,"W, 27-25",*,8,7,64,9.1,0,87.5,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,81.4,0,0.0,0,0.0
8,6.0,53.0,9.0,10.0,2021-11-14,ATL,@,DAL,"L, 3-43",*,3,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35,64.8,0,0.0,0,0.0
9,7.0,54.0,10.0,11.0,2021-11-18,ATL,,NWE,"L, 0-25",*,8,5,49,9.8,0,62.5,6.1,0.0,1,1,0,0,0,0,0,0,0,0,0,0,40,74.1,0,0.0,0,0.0
10,8.0,55.0,11.0,12.0,2021-11-28,ATL,@,JAX,"W, 21-14",,7,6,62,10.3,1,85.7,8.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,76.7,0,0.0,0,0.0
11,9.0,56.0,12.0,13.0,2021-12-05,ATL,,TAM,"L, 17-30",,12,11,130,11.8,0,91.7,10.8,0.0,0,0,0,0,0,0,1,1,0,0,0,0,53,74.6,0,0.0,0,0.0
12,10.0,57.0,13.0,14.0,2021-12-12,ATL,@,CAR,"W, 29-21",*,6,4,64,16.0,0,66.7,10.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,75.4,0,0.0,0,0.0
13,11.0,58.0,14.0,15.0,2021-12-19,ATL,@,SFO,"L, 13-31",*,12,8,91,11.4,1,66.7,7.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,80.0,0,0.0,0,0.0
14,12.0,59.0,15.0,16.0,2021-12-26,ATL,,DET,"W, 20-16",*,5,4,39,9.8,0,80.0,7.8,0.0,0,0,0,0,0,0,1,1,0,0,0,0,40,87.0,0,0.0,0,0.0
15,13.0,60.0,16.0,17.0,2022-01-02,ATL,@,BUF,"L, 15-29",*,5,3,50,16.7,0,60.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,79.2,0,0.0,0,0.0
16,14.0,61.0,17.0,18.0,2022-01-09,ATL,,NOR,"L, 20-30",*,13,9,126,14.0,1,69.2,9.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,90.0,0,0.0,0,0.0
17,,,,,,,,,5-9,,94,66,770,11.7,4,70.2,8.2,0.0,1,1,0,0,0,0,2,2,0,0,0,0,612,73.2,0,0.0,1,0.3
