,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,25.0,1.0,1.0,2024-09-08,LAC,,LVR,"W, 22-10",,10,135,1,13.5,3,3,4,1.3,0,100.0,1.3,33,57.9,0,0.0,0,0.0
1,2.0,26.0,2.0,2.0,2024-09-15,LAC,@,CAR,"W, 26-3",*,17,131,1,7.7,1,1,0,0.0,0,100.0,0.0,32,46.4,0,0.0,0,0.0
2,3.0,27.0,3.0,3.0,2024-09-22,LAC,@,PIT,"L, 10-20",*,15,44,0,2.9,3,3,10,3.3,0,100.0,3.3,30,65.2,0,0.0,0,0.0
3,4.0,28.0,4.0,4.0,2024-09-29,LAC,,KAN,"L, 10-17",*,14,32,0,2.3,4,3,30,10.0,0,75.0,7.5,40,71.4,0,0.0,0,0.0
4,5.0,29.0,5.0,6.0,2024-10-13,LAC,@,DEN,"W, 23-16",*,25,96,1,3.8,2,2,6,3.0,0,100.0,3.0,57,73.1,0,0.0,0,0.0
5,6.0,30.0,6.0,7.0,2024-10-21,LAC,@,ARI,"L, 15-17",*,14,40,0,2.9,3,3,26,8.7,0,100.0,8.7,45,68.2,0,0.0,0,0.0
6,7.0,31.0,7.0,8.0,2024-10-27,LAC,,NOR,"W, 26-8",*,17,57,1,3.4,7,4,11,2.8,0,57.1,1.6,54,81.8,0,0.0,0,0.0
7,8.0,32.0,8.0,9.0,2024-11-03,LAC,@,CLE,"W, 27-10",*,14,85,2,6.1,2,2,20,10.0,0,100.0,10.0,42,73.7,0,0.0,0,0.0
8,9.0,33.0,9.0,10.0,2024-11-10,LAC,,TEN,"W, 27-17",*,15,50,0,3.3,3,3,5,1.7,0,100.0,1.7,39,66.1,0,0.0,0,0.0
9,10.0,34.0,10.0,11.0,2024-11-17,LAC,,CIN,"W, 34-27",,11,56,2,5.1,1,1,3,3.0,0,100.0,3.0,49,73.1,0,0.0,0,0.0
10,11.0,35.0,11.0,12.0,2024-11-25,LAC,,BAL,"L, 23-30",*,6,40,0,6.7,5,3,19,6.3,0,60.0,3.8,21,30.4,0,0.0,0,0.0
11,11.0,,12.0,13.0,2024-12-01,LAC,@,ATL,"W, 17-13",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,11.0,,13.0,14.0,2024-12-08,LAC,@,KAN,"L, 17-19",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,11.0,,14.0,15.0,2024-12-15,LAC,,TAM,"L, 17-40",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,11.0,,15.0,16.0,2024-12-19,LAC,,DEN,"W, 34-27",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,12.0,36.0,16.0,17.0,2024-12-28,LAC,@,NWE,"W, 40-7",*,19,76,1,4.0,1,1,7,7.0,0,100.0,7.0,42,53.2,0,0.0,0,0.0
16,13.0,37.0,17.0,18.0,2025-01-05,LAC,@,LVR,"W, 34-20",*,18,63,0,3.5,3,3,12,4.0,0,100.0,4.0,49,65.3,0,0.0,0,0.0
17,,,,,,,,,9-4,,195,905,9,4.6,38,32,153,4.8,0,84.2,4.0,533,63.2,0,0.0,0,0.0
