,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,KRTD,Y/Ret,Ret.1,Yds.5,PRTD,Y/Ret.1,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.6,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,55.0,1.0,1.0,2021-09-12,LAR,,CHI,"W, 34-14",*,10,7,108,15.4,1,70.0,10.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,94.2,0,0.0,3,15.0
1,2.0,56.0,2.0,2.0,2021-09-19,LAR,@,IND,"W, 27-24",*,11,9,163,18.1,2,81.8,14.8,1,-5,0,-5.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,100.0,0,0.0,5,19.2
2,3.0,57.0,3.0,3.0,2021-09-26,LAR,,TAM,"W, 34-24",*,12,9,96,10.7,2,75.0,8.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,53,81.5,0,0.0,7,23.3
3,4.0,58.0,4.0,4.0,2021-10-03,LAR,,ARI,"L, 20-37",*,13,5,64,12.8,0,38.5,4.9,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,65,95.6,0,0.0,7,25.0
4,5.0,59.0,5.0,5.0,2021-10-07,LAR,@,SEA,"W, 26-17",*,10,7,92,13.1,0,70.0,9.2,0,0,0,,0,0,,0,0,0,,,,0,0,1,12,0,12.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,88.1,0,0.0,7,25.0
5,6.0,60.0,6.0,6.0,2021-10-17,LAR,@,NYG,"W, 38-11",*,12,9,130,14.4,2,75.0,10.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,1,8,0,8.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,55,83.3,0,0.0,2,7.4
6,7.0,61.0,7.0,7.0,2021-10-24,LAR,,DET,"W, 28-19",*,13,10,156,15.6,2,76.9,12.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,63,96.9,0,0.0,1,4.0
7,8.0,62.0,8.0,8.0,2021-10-31,LAR,@,HOU,"W, 38-22",*,9,7,115,16.4,1,77.8,12.8,0,0,0,,0,0,,0,0,0,,,,0,0,1,8,0,8.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,58,86.6,0,0.0,7,21.2
8,9.0,63.0,9.0,9.0,2021-11-07,LAR,,TEN,"L, 16-28",*,13,11,95,8.6,0,84.6,7.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,78,100.0,0,0.0,4,14.8
9,10.0,64.0,10.0,10.0,2021-11-15,LAR,@,SFO,"L, 10-31",*,13,11,122,11.1,0,84.6,9.4,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,100.0,0,0.0,1,4.3
