,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2017,24,LAR,NFL,WR,15.0,6.0,94.0,62.0,869.0,14.0,5.0,42.0,57.4,64.0,4.1,57.9,66.0,9.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,62.0,14.0,869.0,5.0,1.0,9.0,
1,2018,25,LAR,NFL,WR,8.0,8.0,55.0,40.0,566.0,14.2,6.0,25.0,60.0,70.0,5.0,70.8,72.7,10.3,4.0,25.0,0.0,3.0,75.0,12.0,6.3,3.1,0.5,44.0,13.4,591.0,6.0,0.0,6.0,
2,2019,26,LAR,NFL,WR,16.0,14.0,134.0,94.0,1161.0,12.4,10.0,51.0,53.0,66.0,5.9,72.6,70.1,8.7,2.0,4.0,0.0,0.0,50.0,6.0,2.0,0.3,0.1,96.0,12.1,1165.0,10.0,3.0,9.0,AP CPoY-5
3,2020,27,LAR,NFL,WR,15.0,12.0,124.0,92.0,974.0,10.6,3.0,45.0,59.7,55.0,6.1,64.9,74.2,7.9,4.0,33.0,0.0,3.0,75.0,16.0,8.3,2.2,0.3,96.0,10.5,1007.0,3.0,1.0,7.0,
4,2021,28,LAR,NFL,WR,17.0,17.0,191.0,145.0,1947.0,13.4,16.0,89.0,63.4,59.0,8.5,114.5,75.9,10.2,4.0,18.0,0.0,1.0,50.0,18.0,4.5,1.1,0.2,149.0,13.2,1965.0,16.0,0.0,18.0,"PB,AP-1,AP MVP-3,AP OPoY-1"
5,2022,29,LAR,NFL,WR,9.0,9.0,98.0,75.0,812.0,10.8,6.0,42.0,62.2,75.0,8.3,90.2,76.5,8.3,9.0,52.0,1.0,4.0,66.7,20.0,5.8,5.8,1.0,84.0,10.3,864.0,7.0,2.0,8.0,
6,2023,30,LAR,NFL,WR,12.0,12.0,95.0,59.0,737.0,12.5,5.0,33.0,49.5,62.0,4.9,61.4,62.1,7.8,1.0,-3.0,0.0,0.0,0.0,-3.0,-3.0,-0.3,0.1,60.0,12.2,734.0,5.0,0.0,7.0,
7,2024,31,LAR,NFL,WR,12.0,11.0,100.0,67.0,710.0,10.6,6.0,28.0,47.0,69.0,5.6,59.2,67.0,7.1,2.0,10.0,0.0,1.0,50.0,9.0,5.0,0.8,0.2,69.0,10.4,720.0,6.0,1.0,6.0,
8,2025,32,SEA,NFL,WR,4.0,4.0,20.0,15.0,162.0,10.8,0.0,7.0,55.0,23.0,3.8,40.5,75.0,8.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,15.0,10.8,162.0,0.0,0.0,,
9,9 Yrs,9 Yrs,9 Yrs,9 Yrs,,108.0,93.0,911.0,649.0,7938.0,12.2,57.0,362.0,57.0,75.0,6.0,73.5,71.2,8.7,26.0,139.0,1.0,12.0,61.5,20.0,5.3,1.3,0.2,675.0,12.0,8077.0,58.0,8.0,70.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,15.0,143.0,102.0,1250.0,12.2,9.0,57.0,57.0,75.0,6.0,73.5,71.2,8.7,4.0,22.0,0.0,2.0,61.5,20.0,5.3,1.3,0.2,106.0,12.0,1271.0,9.0,1.0,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,LAR (8 Yrs),LAR (8 Yrs),LAR (8 Yrs),LAR (8 Yrs),,104.0,89.0,891.0,634.0,7776.0,12.3,57.0,355.0,57.0,75.0,6.1,74.8,71.2,8.7,26.0,139.0,1.0,12.0,61.5,20.0,5.3,1.3,0.3,660.0,12.0,7915.0,58.0,8.0,70.0,
13,SEA (1 Yr),SEA (1 Yr),SEA (1 Yr),SEA (1 Yr),,4.0,4.0,20.0,15.0,162.0,10.8,0.0,7.0,55.0,23.0,3.8,40.5,75.0,8.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,15.0,10.8,162.0,0.0,0.0,,
