,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,72.0,1.0,1.0,2022-09-08,LAR,,BUF,"L, 10-31",*,15,13,128,9.8,1,86.7,8.5,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
1,2.0,73.0,2.0,2.0,2022-09-18,LAR,,ATL,"W, 31-27",*,14,11,108,9.8,2,78.6,7.7,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,62,98.4,0,0.0,2,8.7
2,3.0,74.0,3.0,3.0,2022-09-25,LAR,@,ARI,"W, 20-12",*,6,4,44,11.0,0,66.7,7.3,1,20,1,20.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,100.0,0,0.0,1,4.0
3,4.0,75.0,4.0,4.0,2022-10-03,LAR,@,SFO,"L, 9-24",*,19,14,122,8.7,0,73.7,6.4,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,74,100.0,0,0.0,0,0.0
4,5.0,76.0,5.0,5.0,2022-10-09,LAR,,DAL,"L, 10-22",*,10,7,125,17.9,1,70.0,12.5,1,4,0,4.0,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,64,98.5,0,0.0,0,0.0
5,6.0,77.0,6.0,6.0,2022-10-16,LAR,,CAR,"W, 24-10",*,8,7,80,11.4,0,87.5,10.0,2,17,0,8.5,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,63,96.9,0,0.0,0,0.0
6,7.0,78.0,7.0,8.0,2022-10-30,LAR,,SFO,"L, 14-31",*,12,8,79,9.9,1,66.7,6.6,2,10,0,5.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,94.8,0,0.0,0,0.0
7,8.0,79.0,8.0,9.0,2022-11-06,LAR,@,TAM,"L, 13-16",*,9,8,127,15.9,1,88.9,14.1,3,1,0,0.3,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,57,100.0,0,0.0,0,0.0
8,9.0,80.0,9.0,10.0,2022-11-13,LAR,,ARI,"L, 17-27",*,5,3,-1,-0.3,0,60.0,-0.2,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40,66.7,0,0.0,0,0.0
9,9.0,,10.0,11.0,2022-11-20,LAR,@,NOR,"L, 20-27",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,9.0,,11.0,12.0,2022-11-27,LAR,@,KAN,"L, 10-26",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
