,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds.1,TD.1,Int,Y/A,AY/A,Rate,Sk,Yds.2,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2017-09-10,LAR,,IND,"W, 46-9",,6,4,76,19.0,1,66.7,12.7,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,39,60.0,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2017-09-17,LAR,,WAS,"L, 20-27",,6,3,33,11.0,0,50.0,5.5,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,30,60.0,0,0.0,1,3.2
2,3.0,3.0,3.0,3.0,2017-09-21,LAR,@,SFO,"W, 41-39",,2,2,17,8.5,0,100.0,8.5,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,38,58.5,0,0.0,1,2.9
3,4.0,4.0,4.0,4.0,2017-10-01,LAR,@,DAL,"W, 35-30",,7,5,60,12.0,1,71.4,8.6,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,49,71.0,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2017-10-08,LAR,,SEA,"L, 10-16",,8,3,44,14.7,0,37.5,5.5,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,63,85.1,0,0.0,4,17.4
5,6.0,6.0,6.0,6.0,2017-10-15,LAR,@,JAX,"W, 27-17",,3,2,35,17.5,0,66.7,11.7,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,35,60.3,0,0.0,0,0.0
6,7.0,7.0,7.0,7.0,2017-10-22,LAR,,ARI,"W, 33-0",,10,4,51,12.8,1,40.0,5.1,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,63,78.8,0,0.0,0,0.0
7,8.0,8.0,8.0,9.0,2017-11-05,LAR,@,NYG,"W, 51-17",*,5,3,54,18.0,0,60.0,10.8,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,39,60.9,0,0.0,0,0.0
8,9.0,9.0,9.0,10.0,2017-11-12,LAR,,HOU,"W, 33-7",,7,6,47,7.8,0,85.7,6.7,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,56,84.8,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2017-11-19,LAR,@,MIN,"L, 7-24",*,7,6,64,10.7,0,85.7,9.1,0,0,,0,0,0,,,,0,0,1,1,0,0,0,0,55,93.2,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2017-11-26,LAR,,NOR,"W, 26-20",,11,8,116,14.5,0,72.7,10.5,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,0,0,0,0,0,0,61,79.2,0,0.0,0,0.0
11,12.0,12.0,12.0,13.0,2017-12-03,LAR,@,ARI,"W, 32-16",*,6,5,68,13.6,0,83.3,11.3,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,51,87.9,0,0.0,0,0.0
12,13.0,13.0,13.0,14.0,2017-12-10,LAR,,PHI,"L, 35-43",*,7,5,118,23.6,1,71.4,16.9,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,45,93.8,0,0.0,0,0.0
13,14.0,14.0,14.0,15.0,2017-12-17,LAR,@,SEA,"W, 42-7",*,3,2,21,10.5,0,66.7,7.0,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,49,72.1,0,0.0,0,0.0
14,15.0,15.0,15.0,16.0,2017-12-24,LAR,@,TEN,"W, 27-23",*,6,4,65,16.3,1,66.7,10.8,0,0,,0,0,0,,,,0,0,0,0,0,0,0,0,63,94.0,0,0.0,0,0.0
15,15.0,,16.0,17.0,2017-12-31,LAR,,SFO,"L, 13-34",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,,,,,,,,,11-4,,94,62,869,14.0,5,66.0,9.2,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,1,1,0,0,0,0,736,76.0,0,0.0,6,1.3
