,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2018,23,MIA,NFL,TE,16.0,7.0,32.0,22.0,202.0,9.2,0.0,9.0,46.9,27.0,1.4,12.6,68.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,22.0,9.2,202.0,0.0,1.0,2.0,
1,2019,24,MIA,NFL,TE,16.0,5.0,89.0,51.0,570.0,11.2,5.0,25.0,44.9,34.0,3.2,35.6,57.3,6.4,0.0,0.0,0.0,0.0,0.0,0.0,51.0,11.2,570.0,5.0,1.0,4.0,
2,2020,25,MIA,NFL,TE,15.0,9.0,85.0,53.0,703.0,13.3,6.0,36.0,57.6,70.0,3.5,46.9,62.4,8.3,0.0,0.0,0.0,0.0,0.0,0.0,53.0,13.3,703.0,6.0,0.0,6.0,
3,2021,26,MIA,NFL,TE,17.0,9.0,112.0,73.0,780.0,10.7,2.0,39.0,53.6,40.0,4.3,45.9,65.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,10.7,780.0,2.0,0.0,6.0,
4,2022,27,MIA,NFL,TE,17.0,1.0,52.0,32.0,362.0,11.3,5.0,19.0,48.1,32.0,1.9,21.3,61.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,11.3,362.0,5.0,0.0,3.0,
5,2023,28,NWE,NFL,TE,17.0,10.0,45.0,29.0,244.0,8.4,2.0,11.0,44.4,18.0,1.7,14.4,64.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,29.0,8.4,244.0,2.0,0.0,2.0,
6,2024,29,CIN,NFL,TE,17.0,3.0,83.0,65.0,665.0,10.2,2.0,38.0,62.7,47.0,3.8,39.1,78.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,10.2,665.0,2.0,1.0,6.0,
7,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,115.0,44.0,498.0,325.0,3526.0,10.8,22.0,177.0,52.4,70.0,2.8,30.7,65.3,7.1,0.0,0.0,0.0,0.0,0.0,0.0,325.0,10.8,3526.0,22.0,3.0,29.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,7.0,74.0,48.0,521.0,10.8,3.0,26.0,52.4,70.0,2.8,30.7,65.3,7.1,0.0,0.0,0.0,0.0,0.0,0.0,48.0,1.6,521.0,3.0,0.0,4.0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,MIA (5 Yrs),MIA (5 Yrs),MIA (5 Yrs),MIA (5 Yrs),,81.0,31.0,370.0,231.0,2617.0,11.3,18.0,128.0,51.1,70.0,2.9,32.3,62.4,7.1,0.0,0.0,0.0,0.0,0.0,0.0,231.0,11.3,2617.0,18.0,2.0,21.0,
11,CIN (1 Yr),CIN (1 Yr),CIN (1 Yr),CIN (1 Yr),,17.0,3.0,83.0,65.0,665.0,10.2,2.0,38.0,62.7,47.0,3.8,39.1,78.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,10.2,665.0,2.0,1.0,6.0,
12,NWE (1 Yr),NWE (1 Yr),NWE (1 Yr),NWE (1 Yr),,17.0,10.0,45.0,29.0,244.0,8.4,2.0,11.0,44.4,18.0,1.7,14.4,64.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,29.0,8.4,244.0,2.0,0.0,2.0,
