,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds.1,TD.1,Int,Y/A,AY/A,Rate,Sk,Yds.2,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,48.0,1.0,1.0,2021-09-12,MIA,@,NWE,"W, 17-16",,3,0,0,,0,0.0,0.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,21,38.9,0,0.0,0,0.0
1,2.0,49.0,2.0,2.0,2021-09-19,MIA,,BUF,"L, 0-35",,6,3,41,13.7,0,50.0,6.8,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,47,63.5,0,0.0,0,0.0
2,3.0,50.0,3.0,3.0,2021-09-26,MIA,@,LVR,"L, 28-31 (OT)",,12,10,86,8.6,0,83.3,7.2,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,55,66.3,0,0.0,0,0.0
3,4.0,51.0,4.0,4.0,2021-10-03,MIA,,IND,"L, 17-27",,6,5,57,11.4,1,83.3,9.5,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,36,69.2,0,0.0,0,0.0
4,5.0,52.0,5.0,5.0,2021-10-10,MIA,@,TAM,"L, 17-45",*,7,4,43,10.8,0,57.1,6.1,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,42,77.8,0,0.0,0,0.0
5,6.0,53.0,6.0,6.0,2021-10-17,MIA,@,JAX,"L, 20-23",*,9,8,115,14.4,0,88.9,12.8,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,49,70.0,0,0.0,0,0.0
6,7.0,54.0,7.0,7.0,2021-10-24,MIA,,ATL,"L, 28-30",*,8,7,85,12.1,1,87.5,10.6,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,60,82.2,0,0.0,0,0.0
7,8.0,55.0,8.0,8.0,2021-10-31,MIA,@,BUF,"L, 11-26",,4,3,48,16.0,0,75.0,12.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,67,97.1,0,0.0,0,0.0
8,9.0,56.0,9.0,9.0,2021-11-07,MIA,,HOU,"W, 17-9",*,8,4,54,13.5,0,50.0,6.8,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,59,78.7,0,0.0,0,0.0
9,10.0,57.0,10.0,10.0,2021-11-11,MIA,,BAL,"W, 22-10",,7,0,0,,0,0.0,0.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,56,81.2,0,0.0,0,0.0
10,11.0,58.0,11.0,11.0,2021-11-21,MIA,@,NYJ,"W, 24-17",*,6,5,50,10.0,0,83.3,8.3,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,51,70.8,0,0.0,1,3.6
11,12.0,59.0,12.0,12.0,2021-11-28,MIA,,CAR,"W, 33-10",*,3,3,17,5.7,0,100.0,5.7,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,59,79.7,0,0.0,0,0.0
12,13.0,60.0,13.0,13.0,2021-12-05,MIA,,NYG,"W, 20-9",,11,7,46,6.6,0,63.6,4.2,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,46,66.7,0,0.0,0,0.0
13,14.0,61.0,14.0,15.0,2021-12-19,MIA,,NYJ,"W, 31-24",*,8,5,43,8.6,0,62.5,5.4,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,45,63.4,0,0.0,0,0.0
14,15.0,62.0,15.0,16.0,2021-12-27,MIA,@,NOR,"W, 20-3",*,4,3,22,7.3,0,75.0,5.5,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,49,75.4,0,0.0,0,0.0
15,16.0,63.0,16.0,17.0,2022-01-02,MIA,@,TEN,"L, 3-34",,7,4,51,12.8,0,57.1,7.3,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0,0.0,1,1,0,0,0,0,47,75.8,0,0.0,0,0.0
16,17.0,64.0,17.0,18.0,2022-01-09,MIA,,NWE,"W, 33-24",*,3,2,22,11.0,0,66.7,7.3,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,39,57.4,0,0.0,0,0.0
17,,,,,,,,,9-8,,112,73,780,10.7,2,65.2,7.0,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0,0.0,1,1,0,0,0,0,828,71.8,0,0.0,1,0.2
