,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds.1,TD.1,Int,Y/A,AY/A,Rate,Sk,Yds.2,Ret,Yds.3,KRTD,Y/Ret,Ret.1,Yds.4,PRTD,Y/Ret.1,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.5,FRTD
0,1.0,14.0,1.0,1.0,2011-09-11,PIT,@,BAL,"L, 7-35",,3,2,20,10.0,1,66.7,6.7,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0
1,2.0,15.0,2.0,2.0,2011-09-18,PIT,,SEA,"W, 24-0",,3,2,44,22.0,0,66.7,14.7,1,1,100.0,15,0,0,15.0,15.00,118.7,0,0,0,0,0,,2,8,0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2,3.0,16.0,3.0,3.0,2011-09-25,PIT,@,IND,"W, 23-20",,5,2,21,10.5,0,40.0,4.2,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,0.0,2,1,1,0,0,0,0,0,0,0,0,0
3,4.0,17.0,4.0,4.0,2011-10-02,PIT,@,HOU,"L, 10-17",,2,1,10,10.0,0,50.0,5.0,0,0,,0,0,0,,,,0,0,0,0,0,,1,10,0,10.0,0.0,0,0,0,0,,0,0,0,0,0,0,0
4,5.0,18.0,5.0,5.0,2011-10-09,PIT,,TEN,"W, 38-17",,3,0,0,,0,0.0,0.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0
5,6.0,19.0,6.0,6.0,2011-10-16,PIT,,JAX,"W, 17-13",,4,1,32,32.0,0,25.0,8.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,4,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
6,7.0,20.0,7.0,7.0,2011-10-23,PIT,@,ARI,"W, 32-20",,7,5,46,9.2,1,71.4,6.6,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0
7,8.0,21.0,8.0,8.0,2011-10-30,PIT,,NWE,"W, 25-17",,8,5,70,14.0,0,62.5,8.8,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8,8.0,,9.0,9.0,2011-11-06,PIT,,BAL,"L, 20-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,8.0,,10.0,10.0,2011-11-13,PIT,@,CIN,"W, 24-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,9.0,22.0,11.0,12.0,2011-11-27,PIT,@,KAN,"W, 13-9",,4,2,25,12.5,0,50.0,6.3,0,0,,0,0,0,,,,0,0,4,77,0,19.3,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0
11,10.0,23.0,12.0,13.0,2011-12-04,PIT,,CIN,"W, 35-7",,2,1,6,6.0,0,50.0,3.0,0,0,,0,0,0,,,,0,0,1,16,0,16.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0
12,10.0,,13.0,14.0,2011-12-08,PIT,,CLE,"W, 14-3",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,10.0,,14.0,15.0,2011-12-19,PIT,@,SFO,"L, 3-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,10.0,,15.0,16.0,2011-12-24,PIT,,STL,"W, 27-0",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,11.0,24.0,16.0,17.0,2012-01-01,PIT,@,CLE,"W, 13-9",,2,1,14,14.0,0,50.0,7.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0
16,,,,,,,,,9-2,,43,22,288,13.1,2,51.2,6.7,1,1,100.0,15,0,0,15.0,15.00,118.7,0,0,5,93,0,18.6,3,22,0,7.3,0.0,2,1,1,0,0,0,0,0,0,1,0,0
