,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,73.0,1.0,1.0,2015-09-13,DEN,,BAL,"W, 19-13",*,12,8,65,8.1,0,66.7,5.4,0,0,0,,0,0,0,,3,20,0,6.7,0,0,0,0,0,0,65,92.9,0,0.0,6,20.7
1,2.0,74.0,2.0,2.0,2015-09-17,DEN,@,KAN,"W, 31-24",*,14,8,87,10.9,2,57.1,6.2,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0,0,0,0,68,93.2,0,0.0,4,12.9
2,3.0,75.0,3.0,3.0,2015-09-27,DEN,@,DET,"W, 24-12",*,9,6,87,14.5,0,66.7,9.7,0,0,0,,0,0,0,,2,13,0,6.5,0,0,0,0,0,0,62,96.9,0,0.0,5,20.8
3,4.0,76.0,4.0,4.0,2015-10-04,DEN,,MIN,"W, 23-20",*,6,3,68,22.7,0,50.0,11.3,0,0,0,,0,0,0,,1,2,0,2.0,0,0,0,0,0,0,52,91.2,0,0.0,5,17.2
4,5.0,77.0,5.0,5.0,2015-10-11,DEN,@,OAK,"W, 16-10",*,12,9,111,12.3,0,75.0,9.3,0,0,0,,0,0,0,,1,4,0,4.0,0,0,0,0,0,0,55,94.8,0,0.0,4,15.4
5,6.0,78.0,6.0,6.0,2015-10-18,DEN,@,CLE,"W, 26-23 (OT)",*,11,4,109,27.3,1,36.4,9.9,0,0,0,,0,0,0,,2,19,0,9.5,0,0,0,0,0,0,69,82.1,0,0.0,7,18.9
6,7.0,79.0,7.0,8.0,2015-11-01,DEN,,GNB,"W, 29-10",*,5,2,22,11.0,0,40.0,4.4,0,0,0,,1,13,0,13.0,3,12,0,4.0,0,0,0,0,0,0,58,86.6,0,0.0,6,24.0
7,8.0,80.0,8.0,9.0,2015-11-08,DEN,@,IND,"L, 24-27",*,11,6,90,15.0,1,54.5,8.2,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,43,82.7,0,0.0,0,0.0
8,9.0,81.0,9.0,10.0,2015-11-15,DEN,,KAN,"L, 13-29",*,4,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,23,32.4,0,0.0,0,0.0
9,9.0,,10.0,11.0,2015-11-22,DEN,@,CHI,"W, 17-15",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,10.0,82.0,11.0,12.0,2015-11-29,DEN,,NWE,"W, 30-24 (OT)",*,9,6,113,18.8,0,66.7,12.6,0,0,0,,0,0,0,,2,16,0,8.0,0,0,0,0,0,0,63,79.7,0,0.0,3,8.1
11,11.0,83.0,12.0,13.0,2015-12-06,DEN,@,SDG,"W, 17-3",*,8,3,19,6.3,0,37.5,2.4,1,5,0,5.0,0,0,0,,0,0,0,,0,0,0,0,0,0,55,79.7,0,0.0,2,9.5
12,12.0,84.0,13.0,14.0,2015-12-13,DEN,,OAK,"L, 12-15",*,6,2,17,8.5,0,33.3,2.8,0,0,0,,0,0,0,,3,17,0,5.7,1,1,0,0,0,0,66,82.5,0,0.0,9,29.0
13,13.0,85.0,14.0,15.0,2015-12-20,DEN,@,PIT,"L, 27-34",*,16,10,181,18.1,1,62.5,11.3,1,24,0,24.0,0,0,0,,0,0,0,,0,0,0,0,0,0,64,83.1,0,0.0,2,5.9
14,14.0,86.0,15.0,16.0,2015-12-28,DEN,,CIN,"W, 20-17 (OT)",*,5,4,67,16.8,1,80.0,13.4,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,54,83.1,0,0.0,0,0.0
15,15.0,87.0,16.0,17.0,2016-01-03,DEN,,SDG,"W, 27-20",*,8,5,99,19.8,0,62.5,12.4,0,0,0,,0,0,0,,0,0,0,,1,1,0,0,0,0,55,83.3,0,0.0,0,0.0
16,,,,,,,,,11-4,,136,76,1135,14.9,6,55.9,8.3,3,29,0,9.7,1,13,0,13.0,17,103,0,6.1,2,2,0,0,0,0,852,82.6,0,0.0,53,12.0
