,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2010,23,PIT,NFL,WR,3.0,0.0,13.0,7.0,91.0,13.0,0.0,7.0,53.8,20.0,2.3,30.3,53.8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,91.0,0.0,0.0,
1,2011,24,PIT,NFL,WR,1.0,0.0,8.0,6.0,81.0,13.5,0.0,3.0,75.0,18.0,6.0,81.0,75.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.5,81.0,0.0,0.0,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2014,27,DEN,NFL,WR,1.0,1.0,15.0,7.0,46.0,6.6,0.0,3.0,13.3,17.0,7.0,46.0,46.7,3.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.6,46.0,0.0,0.0,
4,2015,28,DEN,NFL,WR,3.0,3.0,24.0,16.0,230.0,14.4,0.0,11.0,66.7,34.0,5.3,76.7,66.7,9.6,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.4,230.0,0.0,0.0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019,32,SFO,NFL,WR,3.0,3.0,8.0,5.0,71.0,14.2,0.0,4.0,62.5,22.0,1.7,23.7,62.5,8.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.2,71.0,0.0,0.0,
7,2020,33,NOR,NFL,WR,2.0,1.0,12.0,8.0,51.0,6.4,0.0,4.0,50.0,16.0,4.0,25.5,66.7,4.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.4,51.0,0.0,0.0,
8,2021,34,BUF,NFL,WR,2.0,2.0,4.0,3.0,52.0,17.3,1.0,2.0,50.0,34.0,1.5,26.0,75.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.3,52.0,1.0,0.0,
9,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,15.0,10.0,84.0,52.0,622.0,12.0,1.0,34.0,52.4,34.0,3.5,41.5,61.9,7.4,0.0,0.0,0.0,0.0,0.0,0.0,52.0,12.0,622.0,1.0,0.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,11.0,95.0,59.0,705.0,12.0,1.0,39.0,52.4,34.0,3.5,41.5,61.9,7.4,0.0,0.0,0.0,0.0,0.0,0.0,59.0,12.0,705.0,1.0,0.0,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,DEN (2 Yrs),DEN (2 Yrs),DEN (2 Yrs),DEN (2 Yrs),,4.0,4.0,39.0,23.0,276.0,12.0,0.0,14.0,46.2,34.0,5.8,69.0,59.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,23.0,12.0,276.0,0.0,0.0,
13,PIT (2 Yrs),PIT (2 Yrs),PIT (2 Yrs),PIT (2 Yrs),,4.0,0.0,21.0,13.0,172.0,13.2,0.0,10.0,61.9,20.0,3.3,43.0,61.9,8.2,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.2,172.0,0.0,0.0,
14,SFO (1 Yr),SFO (1 Yr),SFO (1 Yr),SFO (1 Yr),,3.0,3.0,8.0,5.0,71.0,14.2,0.0,4.0,62.5,22.0,1.7,23.7,62.5,8.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14.2,71.0,0.0,0.0,
15,BUF (1 Yr),BUF (1 Yr),BUF (1 Yr),BUF (1 Yr),,2.0,2.0,4.0,3.0,52.0,17.3,1.0,2.0,50.0,34.0,1.5,26.0,75.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.3,52.0,1.0,0.0,
16,NOR (1 Yr),NOR (1 Yr),NOR (1 Yr),NOR (1 Yr),,2.0,1.0,12.0,8.0,51.0,6.4,0.0,4.0,50.0,16.0,4.0,25.5,66.7,4.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,6.4,51.0,0.0,0.0,
