,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds.1,TD.1,Int,Y/A,AY/A,Rate,Sk,Yds.2,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,128.0,1.0,1,2019-09-09,DEN,@,OAK,"L, 16-24",*,7,5,86,17.2,1,71.4,12.3,0,0,,0,0,0,,,,0,0,55,88.7,0,0.0,0,0.0
1,2.0,129.0,2.0,2,2019-09-15,DEN,,CHI,"L, 14-16",*,13,11,98,8.9,1,84.6,7.5,0,0,,0,0,0,,,,0,0,76,93.8,0,0.0,0,0.0
2,3.0,130.0,3.0,3,2019-09-22,DEN,@,GNB,"L, 16-27",*,5,2,10,5.0,0,40.0,2.0,0,0,,0,0,0,,,,0,0,58,79.5,0,0.0,0,0.0
3,4.0,131.0,4.0,4,2019-09-29,DEN,,JAX,"L, 24-26",*,9,5,104,20.8,0,55.6,11.6,0,0,,0,0,0,,,,0,0,44,80.0,0,0.0,0,0.0
4,5.0,132.0,5.0,5,2019-10-06,DEN,@,LAC,"W, 20-13",*,1,1,9,9.0,0,100.0,9.0,0,0,,0,0,0,,,,0,0,38,63.3,0,0.0,0,0.0
5,6.0,133.0,6.0,6,2019-10-13,DEN,,TEN,"W, 16-0",*,3,1,0,0.0,0,33.3,0.0,0,0,,0,0,0,,,,0,0,25,41.7,0,0.0,0,0.0
6,7.0,134.0,7.0,7,2019-10-17,DEN,,KAN,"L, 6-30",*,6,5,60,12.0,0,83.3,10.0,0,0,,0,0,0,,,,0,0,59,88.1,0,0.0,0,0.0
7,,,,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers,Player went from Denver Broncos to San Francisco 49ers
8,8.0,135.0,7.0,8,2019-10-27,SFO,,CAR,"W, 51-13",*,5,4,25,6.3,1,80.0,5.0,0,0,,0,0,0,,,,0,0,53,81.5,0,0.0,0,0.0
9,9.0,136.0,8.0,9,2019-10-31,SFO,@,ARI,"W, 28-25",*,9,7,112,16.0,1,77.8,12.4,0,0,,0,0,0,,,,0,0,66,94.3,0,0.0,0,0.0
10,10.0,137.0,9.0,10,2019-11-11,SFO,,SEA,"L, 24-27 (OT)",*,4,2,24,12.0,0,50.0,6.0,0,0,,0,0,0,,,,0,0,24,28.9,0,0.0,0,0.0
11,11.0,138.0,10.0,11,2019-11-17,SFO,,ARI,"W, 36-26",*,5,3,33,11.0,0,60.0,6.6,0,0,,0,0,0,,,,0,0,32,43.8,0,0.0,0,0.0
12,12.0,139.0,11.0,12,2019-11-24,SFO,,GNB,"W, 37-8",,1,1,15,15.0,0,100.0,15.0,0,0,,0,0,0,,,,0,0,32,66.7,0,0.0,0,0.0
13,13.0,140.0,12.0,13,2019-12-01,SFO,@,BAL,"L, 17-20",*,6,4,41,10.3,0,66.7,6.8,0,0,,0,0,0,,,,0,0,56,98.2,0,0.0,0,0.0
14,14.0,141.0,13.0,14,2019-12-08,SFO,@,NOR,"W, 48-46",*,9,7,157,22.4,1,77.8,17.4,1,1,100.0,35,1,0,35.0,55.00,158.3,0,0,61,95.3,0,0.0,0,0.0
15,15.0,142.0,14.0,15,2019-12-15,SFO,,ATL,"L, 22-29",*,4,2,9,4.5,0,50.0,2.3,0,0,,0,0,0,,,,0,0,61,95.3,0,0.0,0,0.0
16,16.0,143.0,15.0,16,2019-12-21,SFO,,LAR,"W, 34-31",*,6,3,61,20.3,0,50.0,10.2,0,0,,0,0,0,,,,0,0,56,98.2,0,0.0,0,0.0
17,17.0,144.0,16.0,17,2019-12-29,SFO,@,SEA,"W, 26-21",*,4,3,25,8.3,0,75.0,6.3,0,0,,0,0,0,,,,0,0,46,92.0,0,0.0,0,0.0
18,,,,,,,,,9-8,,97,66,869,13.2,5,68.0,9.0,1,1,100.0,35,1,0,35.0,55.00,158.3,0,0,842,77.3,0,0.0,0,0.0
