,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2011,22,ATL,NFL,WR,1.0,1.0,8.0,7.0,64.0,9.1,0.0,2.0,62.5,20.0,7.0,64.0,87.5,8.0,1.0,13.0,0.0,1.0,100.0,13.0,13.0,13.0,1.0,8.0,9.6,77.0,0.0,0.0,
1,2012,23,ATL,NFL,WR,2.0,2.0,23.0,17.0,241.0,14.2,2.0,12.0,69.6,46.0,8.5,120.5,73.9,10.5,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-0.5,0.5,18.0,13.3,240.0,2.0,0.0,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2016,27,ATL,NFL,WR,3.0,3.0,24.0,19.0,334.0,17.6,3.0,17.0,75.0,73.0,6.3,111.3,79.2,13.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,19.0,17.6,334.0,3.0,0.0,
4,2017,28,ATL,NFL,WR,2.0,2.0,26.0,18.0,195.0,10.8,1.0,12.0,53.8,27.0,9.0,97.5,69.2,7.5,1.0,13.0,0.0,1.0,100.0,13.0,13.0,6.5,0.5,19.0,10.9,208.0,1.0,0.0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021,32,TEN,NFL,WR,1.0,1.0,7.0,6.0,62.0,10.3,0.0,4.0,85.7,16.0,6.0,62.0,85.7,8.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,6.0,10.3,62.0,0.0,0.0,
7,2022,33,TAM,NFL,WR,1.0,0.0,11.0,7.0,74.0,10.6,1.0,3.0,45.5,30.0,7.0,74.0,63.6,6.7,0.0,0.0,0.0,0.0,,,,0.0,0.0,7.0,10.6,74.0,1.0,0.0,
8,2023,34,PHI,NFL,WR,1.0,1.0,3.0,3.0,22.0,7.3,0.0,1.0,66.7,14.0,3.0,22.0,100.0,7.3,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,7.3,22.0,0.0,1.0,
9,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,11.0,10.0,102.0,77.0,992.0,12.9,7.0,51.0,64.7,73.0,7.0,90.2,75.5,9.7,3.0,25.0,0.0,2.0,66.7,13.0,8.3,2.3,0.3,80.0,12.7,1017.0,7.0,1.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,15.0,158.0,119.0,1533.0,12.9,11.0,79.0,64.7,73.0,7.0,90.2,75.5,9.7,5.0,39.0,0.0,3.0,66.7,13.0,8.3,2.3,0.3,124.0,12.7,1572.0,11.0,2.0,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ATL (4 Yrs),ATL (4 Yrs),ATL (4 Yrs),ATL (4 Yrs),,8.0,8.0,81.0,61.0,834.0,13.7,6.0,43.0,65.4,73.0,7.6,104.3,75.3,10.3,3.0,25.0,0.0,2.0,66.7,13.0,8.3,3.1,0.4,64.0,13.4,859.0,6.0,0.0,
13,TEN (1 Yr),TEN (1 Yr),TEN (1 Yr),TEN (1 Yr),,1.0,1.0,7.0,6.0,62.0,10.3,0.0,4.0,85.7,16.0,6.0,62.0,85.7,8.9,0.0,0.0,0.0,0.0,,,,0.0,0.0,6.0,10.3,62.0,0.0,0.0,
14,PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,1.0,1.0,3.0,3.0,22.0,7.3,0.0,1.0,66.7,14.0,3.0,22.0,100.0,7.3,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,7.3,22.0,0.0,1.0,
15,TAM (1 Yr),TAM (1 Yr),TAM (1 Yr),TAM (1 Yr),,1.0,0.0,11.0,7.0,74.0,10.6,1.0,3.0,45.5,30.0,7.0,74.0,63.6,6.7,0.0,0.0,0.0,0.0,,,,0.0,0.0,7.0,10.6,74.0,1.0,0.0,
