,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2017,24,LAR,NFL,RB,1.0,0.0,2.0,14.0,0.0,0.0,0.0,11.0,7.0,14.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,2.0,7.0,14.0,0.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020,27,LAR,NFL,RB,2.0,0.0,9.0,30.0,0.0,1.0,44.4,6.0,3.3,15.0,4.5,2.0,2.0,13.0,6.5,0.0,0.0,50.0,9.0,1.0,6.5,100.0,6.5,11.0,3.9,43.0,0.0,0.0,
3,2 Yrs,2 Yrs,2 Yrs,2 Yrs,,3.0,0.0,11.0,44.0,0.0,1.0,36.4,11.0,4.0,14.7,3.7,2.0,2.0,13.0,6.5,0.0,0.0,50.0,9.0,0.7,4.3,100.0,6.5,13.0,4.4,57.0,0.0,0.0,
4,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,0.0,62.0,249.0,0.0,6.0,36.4,11.0,4.0,14.7,3.7,11.0,11.0,74.0,6.5,0.0,0.0,50.0,9.0,0.7,4.3,100.0,6.5,74.0,4.4,323.0,0.0,0.0,
