,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2015,23,MIN,NFL,RB,1.0,0.0,2.0,7.0,0.0,1.0,50.0,6.0,3.5,7.0,2.0,5.0,3.0,22.0,7.3,0.0,0.0,20.0,9.0,3.0,22.0,60.0,4.4,5.0,5.8,29.0,0.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2017,25,MIN,NFL,RB,2.0,0.0,18.0,74.0,1.0,6.0,55.6,14.0,4.1,37.0,9.0,16.0,14.0,92.0,6.6,0.0,6.0,56.3,13.0,7.0,46.0,87.5,5.8,32.0,5.2,166.0,1.0,0.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021,29,KAN,NFL,RB,3.0,3.0,34.0,150.0,0.0,6.0,55.9,15.0,4.4,50.0,11.3,17.0,14.0,165.0,11.8,1.0,11.0,82.4,23.0,4.7,55.0,82.4,9.7,48.0,6.6,315.0,1.0,1.0,
5,2022,30,KAN,NFL,RB,3.0,0.0,19.0,60.0,0.0,3.0,47.4,14.0,3.2,20.0,6.3,7.0,5.0,32.0,6.4,0.0,1.0,57.1,13.0,1.7,10.7,71.4,4.6,24.0,3.8,92.0,0.0,0.0,
6,2023,31,KAN,NFL,RB,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,2.0,2.0,15.0,7.5,0.0,1.0,50.0,8.0,2.0,15.0,100.0,7.5,2.0,7.5,15.0,0.0,0.0,
7,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,10.0,3.0,73.0,291.0,1.0,16.0,53.4,15.0,4.0,29.1,7.3,47.0,38.0,326.0,8.6,1.0,19.0,61.7,23.0,3.8,32.6,80.9,6.9,111.0,5.6,617.0,2.0,1.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,5.0,124.0,495.0,2.0,27.0,53.4,15.0,4.0,29.1,7.3,80.0,65.0,554.0,8.6,2.0,32.0,61.7,23.0,3.8,32.6,80.9,6.9,189.0,5.6,1049.0,3.0,2.0,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,KAN (3 Yrs),KAN (3 Yrs),KAN (3 Yrs),KAN (3 Yrs),,7.0,3.0,53.0,210.0,0.0,9.0,52.8,15.0,4.0,30.0,7.6,26.0,21.0,212.0,10.1,1.0,13.0,73.1,23.0,3.0,30.3,80.8,8.2,74.0,5.7,422.0,1.0,1.0,
11,MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),,3.0,0.0,20.0,81.0,1.0,7.0,55.0,14.0,4.1,27.0,6.7,21.0,17.0,114.0,6.7,0.0,6.0,47.6,13.0,5.7,38.0,81.0,5.4,37.0,5.3,195.0,1.0,0.0,
