,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2018-09-09,KAN,@,LAC,"W, 38-28",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2.0,2018-09-16,KAN,@,PIT,"W, 42-37",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,,3.0,3.0,2018-09-23,KAN,,SFO,"W, 38-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,,4.0,4.0,2018-10-01,KAN,@,DEN,"W, 27-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,,5.0,5.0,2018-10-07,KAN,,JAX,"W, 30-14",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,,6.0,6.0,2018-10-14,KAN,@,NWE,"L, 40-43",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,,7.0,7.0,2018-10-21,KAN,,CIN,"W, 45-10",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,,8.0,8.0,2018-10-28,KAN,,DEN,"W, 30-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,,9.0,9.0,2018-11-04,KAN,@,CLE,"W, 37-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,1.0,1.0,10.0,10.0,2018-11-11,KAN,,ARI,"W, 26-14",,0,0,0,,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,19,76.0
10,1.0,,11.0,11.0,2018-11-19,KAN,@,LAR,"L, 51-54",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,2.0,2.0,12.0,13.0,2018-12-02,KAN,@,OAK,"W, 40-33",,0,0,0,,0,0,0,,0,,,0.0,1,1,0,0,0,0,3,4.2,0,0.0,10,31.3
12,3.0,3.0,13.0,14.0,2018-12-09,KAN,,BAL,"W, 27-24 (OT)",,0,0,0,,1,1,8,8.0,0,100.0,8.0,0.0,0,0,0,0,0,0,2,2.3,0,0.0,15,51.7
13,4.0,4.0,14.0,15.0,2018-12-13,KAN,,LAC,"L, 28-29",,2,13,0,6.5,2,2,19,9.5,1,100.0,9.5,0.0,0,0,0,0,0,0,15,25.0,0,0.0,12,52.2
14,5.0,5.0,15.0,16.0,2018-12-23,KAN,@,SEA,"L, 31-38",,0,0,0,,0,0,0,,0,,,0.0,0,0,0,0,0,0,3,4.9,0,0.0,8,24.2
15,6.0,6.0,16.0,17.0,2018-12-30,KAN,,OAK,"W, 35-3",,11,31,0,2.8,0,0,0,,0,,,0.0,0,0,0,0,0,0,16,29.6,0,0.0,3,15.8
16,,,,,,,,,4-2,,13,44,0,3.4,3,3,27,9.0,1,100.0,9.0,0.0,1,1,0,0,0,0,39,10.0,0,0.0,67,41.6
