,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2018,23,KAN,NFL,RB,2.0,0.0,3.0,9.0,1.0,1.0,33.3,6.0,3.0,4.5,1.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,3.0,3.0,9.0,1.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020,25,KAN,NFL,RB,3.0,1.0,28.0,135.0,1.0,9.0,50.0,16.0,4.8,45.0,9.3,12.0,7.0,35.0,5.0,0.0,3.0,41.7,9.0,2.3,11.7,58.3,2.9,35.0,4.9,170.0,1.0,0.0,
3,2021,26,KAN,NFL,RB,2.0,0.0,1.0,4.0,0.0,0.0,100.0,4.0,4.0,2.0,0.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,1.0,4.0,4.0,0.0,1.0,
4,3 Yrs,3 Yrs,3 Yrs,3 Yrs,,7.0,1.0,32.0,148.0,2.0,10.0,50.0,16.0,4.6,21.1,4.6,12.0,7.0,35.0,5.0,0.0,3.0,41.7,9.0,1.0,5.0,58.3,2.9,39.0,4.7,183.0,2.0,1.0,
5,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,2.0,78.0,359.0,5.0,24.0,50.0,16.0,4.6,21.1,4.6,,17.0,85.0,5.0,0.0,7.0,,9.0,1.0,5.0,,,95.0,4.7,444.0,5.0,2.0,
