,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2021,29,LVR,NFL,TE,1,1,12,7,76,10.9,0,5,50.0,23,7.0,76.0,58.3,6.3,0,0,0,0,0.0,0.0,7,10.9,76,0,0,
1,1 Yr,1 Yr,1 Yr,1 Yr,,1,1,12,7,76,10.9,0,5,50.0,23,7.0,76.0,58.3,6.3,0,0,0,0,0.0,0.0,7,10.9,76,0,0,
2,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,204,119,1292,10.9,0,85,50.0,23,7.0,76.0,58.3,6.3,0,0,0,0,0.0,0.0,119,10.9,1292,0,0,
