,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,19.0,2025-01-13,LAR,,MIN,"W, 27-9",0.0,2,1,1,0,0,0,0,0,0,1,57,1,0,0.0,52,70.3,0,0.0
1,2.0,2.0,2.0,20.0,2025-01-19,LAR,@,PHI,"L, 22-28",2.0,4,4,0,3,2,0,0,0,0,0,0,0,0,0.0,48,76.2,0,0.0
2,,,,,,,,,1-1,2.0,6,5,1,3,2,0,0,0,0,1,57,1,0,0.0,100,73.0,0,0.0
