,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,18.0,1.0,1.0,2025-09-07,LAR,,HOU,"W, 14-9",*,0.0,3,1,2,0,1,0,0,0.0,57,90.5,5,25.0
1,2.0,19.0,2.0,2.0,2025-09-14,LAR,@,TEN,"W, 33-19",*,0.0,2,1,1,0,2,0,0,0.0,43,65.2,4,12.9
2,3.0,20.0,3.0,3.0,2025-09-21,LAR,@,PHI,"L, 26-33",*,1.0,6,4,2,2,1,0,0,0.0,52,77.6,3,10.7
3,,,,,,,,,2-1,,1.0,11,6,5,2,4,0,0,0.0,152,77.6,12,15.2
