,Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
0,2024,24,LAR,NFL,ROLB,17,16,0,0,0,0,2,2,0,2,0,0,4.5,66,36,30,11,18,0,10.0,"PB,AP DRoY-1"
1,2025,25,LAR,NFL,OLB,3,3,0,0,0,0,0,1,0,0,0,0,1.0,11,6,5,2,4,0,,
2,2 Yrs,2 Yrs,2 Yrs,2 Yrs,,20,19,0,0,0,0,2,3,0,2,0,0,5.5,77,42,35,13,22,0,10.0,
3,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,16,0,0,0,0,2,3,0,2,0,0,4.7,65,36,30,11,19,0,,
