,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2015,24,ARI,NFL,RB,2,2,30,95,1,8,33.3,23,3.2,47.5,15.0,18,15,111,7.4,0,5,61.1,16,7.5,55.5,83.3,6.2,45,4.6,206,1,0,
1,1 Yr,1 Yr,1 Yr,1 Yr,,2,2,30,95,1,8,33.3,23,3.2,47.5,15.0,18,15,111,7.4,0,5,61.1,16,7.5,55.5,83.3,6.2,45,4.6,206,1,0,
2,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,17,255,808,9,68,33.3,23,3.2,47.5,15.0,153,128,944,7.4,0,43,61.1,16,7.5,55.5,83.3,6.2,383,4.6,1751,9,0,
