,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,Y/R,TD.2,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,157.0,1.0,1.0,2020-09-13,MIA,@,NWE,"L, 11-21",*,20,30,66.7,191,0,3,6.4,1.87,44.6,1,9,5,18,0,3.6,0,0,0,,0,,,1,0,0,1,0,0,62,100.0,0,0.0,0,0.0
1,2.0,158.0,2.0,2.0,2020-09-20,MIA,,BUF,"L, 28-31",*,31,47,66.0,328,2,0,7.0,7.83,100.3,3,17,3,12,0,4.0,0,0,0,,0,,,0,0,0,0,0,0,75,100.0,0,0.0,0,0.0
2,3.0,159.0,3.0,3.0,2020-09-24,MIA,@,JAX,"W, 31-13",*,18,20,90.0,160,2,0,8.0,10.00,133.3,1,4,7,38,1,5.4,1,1,0,0.0,0,100.0,0.0,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
3,4.0,160.0,4.0,4.0,2020-10-04,MIA,,SEA,"L, 23-31",*,29,45,64.4,315,0,2,7.0,5.00,66.4,1,3,6,47,1,7.8,0,0,0,,0,,,0,0,0,0,0,0,71,100.0,0,0.0,0,0.0
4,5.0,161.0,5.0,5.0,2020-10-11,MIA,@,SFO,"W, 43-17",*,22,28,78.6,350,3,0,12.5,14.64,154.5,2,8,3,16,0,5.3,0,0,0,,0,,,0,0,0,0,0,0,67,100.0,0,0.0,0,0.0
5,6.0,162.0,6.0,6.0,2020-10-18,MIA,,NYJ,"W, 24-0",*,18,27,66.7,191,3,2,7.1,5.96,93.3,2,8,1,4,0,4.0,0,0,0,,0,,,0,0,0,0,0,0,51,91.1,0,0.0,0,0.0
6,6.0,,7.0,8.0,2020-11-01,MIA,,LAR,"W, 28-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,6.0,,8.0,9.0,2020-11-08,MIA,@,ARI,"W, 34-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,6.0,,9.0,10.0,2020-11-15,MIA,,LAC,"W, 29-21",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,7.0,163.0,10.0,11.0,2020-11-22,MIA,@,DEN,"L, 13-20",,12,18,66.7,117,0,1,6.5,4.00,61.6,0,0,2,6,0,3.0,0,0,0,,0,,,0,0,0,0,0,0,21,32.3,0,0.0,0,0.0
10,8.0,164.0,11.0,12.0,2020-11-29,MIA,@,NYJ,"W, 20-3",*,24,39,61.5,257,2,0,6.6,7.62,97.9,4,16,3,10,0,3.3,0,0,0,,0,,,1,0,0,0,0,0,71,100.0,0,0.0,0,0.0
11,8.0,,12.0,13.0,2020-12-06,MIA,,CIN,"W, 19-7",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,8.0,,13.0,14.0,2020-12-13,MIA,,KAN,"L, 27-33",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,8.0,,14.0,15.0,2020-12-20,MIA,,NWE,"W, 22-12",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,9.0,165.0,15.0,16.0,2020-12-26,MIA,@,LVR,"W, 26-25",,9,13,69.2,182,1,0,14.0,15.54,137.5,0,0,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,17,27.0,0,0.0,0,0.0
15,9.0,,16.0,17.0,2021-01-03,MIA,@,BUF,"L, 26-56",COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List,COVID-19 List
16,,,,,,,,,5-4,,183,267,68.5,2091,13,8,7.8,7.46,95.6,14,65,30,151,2,5.0,1,1,0,0.0,0,100.0,0.0,2,0,0,1,0,0,496,83.9,0,0.0,0,0.0
