,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2020-09-14,TEN,@,DEN,"W, 16-14",*,8,5,39,7.8,0,62.5,4.9,0,0,0,,0,0,0,0,0,0,66,81.5,0,0.0,0,0.0
1,1.0,,2.0,2.0,2020-09-20,TEN,,JAX,"W, 33-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,1.0,,3.0,3.0,2020-09-27,TEN,@,MIN,"W, 31-30",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2.0,18.0,4.0,5.0,2020-10-13,TEN,,BUF,"W, 42-16",,9,7,82,11.7,1,77.8,9.1,0,0,0,,0,0,0,0,0,0,47,71.2,0,0.0,0,0.0
4,3.0,19.0,5.0,6.0,2020-10-18,TEN,,HOU,"W, 42-36 (OT)",*,7,5,58,11.6,2,71.4,8.3,0,0,0,,0,0,0,0,0,0,63,84.0,0,0.0,0,0.0
5,4.0,20.0,6.0,7.0,2020-10-25,TEN,,PIT,"L, 24-27",*,8,6,153,25.5,1,75.0,19.1,0,0,0,,0,0,0,0,0,0,53,93.0,0,0.0,0,0.0
6,5.0,21.0,7.0,8.0,2020-11-01,TEN,@,CIN,"L, 20-31",*,7,4,24,6.0,1,57.1,3.4,0,0,0,,0,0,0,0,0,0,59,93.7,0,0.0,0,0.0
7,6.0,22.0,8.0,9.0,2020-11-08,TEN,,CHI,"W, 24-17",*,9,4,101,25.3,1,44.4,11.2,0,0,0,,0,0,0,0,0,0,45,81.8,0,0.0,2,6.1
8,7.0,23.0,9.0,10.0,2020-11-12,TEN,,IND,"L, 17-34",,4,1,21,21.0,0,25.0,5.3,0,0,0,,0,0,0,0,0,0,49,75.4,0,0.0,0,0.0
9,8.0,24.0,10.0,11.0,2020-11-22,TEN,@,BAL,"W, 30-24 (OT)",*,7,4,62,15.5,1,57.1,8.9,0,0,0,,0,0,0,0,0,0,57,81.4,0,0.0,0,0.0
10,9.0,25.0,11.0,12.0,2020-11-29,TEN,@,IND,"W, 45-26",*,6,4,98,24.5,1,66.7,16.3,1,42,1,42.0,0,0,0,0,0,0,58,80.6,0,0.0,1,3.1
11,10.0,26.0,12.0,13.0,2020-12-06,TEN,,CLE,"L, 35-41",*,7,4,87,21.8,0,57.1,12.4,0,0,0,,2,1,0,0,0,0,63,86.3,0,0.0,0,0.0
12,11.0,27.0,13.0,14.0,2020-12-13,TEN,@,JAX,"W, 31-10",*,9,7,112,16.0,1,77.8,12.4,0,0,0,,0,0,0,0,0,0,37,56.1,0,0.0,0,0.0
13,12.0,28.0,14.0,15.0,2020-12-20,TEN,,DET,"W, 46-25",*,6,5,44,8.8,1,83.3,7.3,0,0,0,,0,0,0,0,0,0,57,83.8,0,0.0,3,11.5
14,13.0,29.0,15.0,16.0,2020-12-27,TEN,@,GNB,"L, 14-40",*,8,4,43,10.8,0,50.0,5.4,0,0,0,,0,0,0,0,0,0,42,76.4,0,0.0,0,0.0
15,14.0,30.0,16.0,17.0,2021-01-03,TEN,@,HOU,"W, 41-38",*,11,10,151,15.1,1,90.9,13.7,0,0,0,,0,0,0,0,0,0,64,90.1,0,0.0,0,0.0
16,,,,,,,,,9-5,,106,70,1075,15.4,11,66.0,10.1,1,42,1,42.0,2,1,0,0,0,0,760,81.1,0,0.0,6,1.6
