,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2019,22,TEN,NFL,WR,16.0,11.0,84.0,52.0,1051.0,20.2,8.0,39.0,53.6,91.0,3.3,65.7,61.9,12.5,3.0,60.0,1.0,2.0,66.7,49.0,20.0,3.8,0.2,55.0,20.2,1111.0,9.0,1.0,10.0,AP ORoY-3
1,2020,23,TEN,NFL,WR,14.0,12.0,106.0,70.0,1075.0,15.4,11.0,55.0,61.3,73.0,5.0,76.8,66.0,10.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,70.0,15.4,1075.0,11.0,2.0,13.0,PB
2,2021,24,TEN,NFL,WR,13.0,13.0,105.0,63.0,869.0,13.8,5.0,45.0,50.5,57.0,4.8,66.8,60.0,8.3,2.0,10.0,0.0,1.0,50.0,7.0,5.0,0.8,0.2,65.0,13.5,879.0,5.0,0.0,8.0,
3,2022,25,PHI,NFL,WR,17.0,16.0,145.0,88.0,1496.0,17.0,11.0,59.0,51.7,78.0,5.2,88.0,60.7,10.3,0.0,0.0,0.0,0.0,,,,0.0,0.0,88.0,17.0,1496.0,11.0,2.0,16.0,"PB,AP-2,AP MVP-9,AP OPoY-11"
4,2023,26,PHI,NFL,WR,17.0,17.0,158.0,106.0,1456.0,13.7,7.0,70.0,56.3,59.0,6.2,85.6,67.1,9.2,0.0,0.0,0.0,0.0,,,,0.0,0.0,106.0,13.7,1456.0,7.0,2.0,15.0,"PB,AP-2"
5,2024,27,PHI,NFL,WR,13.0,13.0,97.0,67.0,1079.0,16.1,7.0,51.0,62.9,67.0,5.2,83.0,69.1,11.1,0.0,0.0,0.0,0.0,,,,0.0,0.0,67.0,16.1,1079.0,7.0,0.0,12.0,AP-2
6,2025,28,PHI,NFL,WR,3.0,3.0,19.0,12.0,144.0,12.0,1.0,5.0,47.4,38.0,4.0,48.0,63.2,7.6,0.0,0.0,0.0,0.0,,,,0.0,0.0,12.0,12.0,144.0,1.0,0.0,,
7,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,93.0,85.0,714.0,458.0,7170.0,15.7,50.0,324.0,55.6,91.0,4.9,77.1,64.1,10.0,5.0,70.0,1.0,3.0,60.0,49.0,14.0,0.8,0.1,463.0,15.6,7240.0,51.0,7.0,74.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,16.0,131.0,84.0,1311.0,15.7,9.0,59.0,55.6,91.0,4.9,77.1,64.1,10.0,1.0,13.0,0.0,1.0,60.0,49.0,14.0,0.8,0.1,85.0,15.6,1323.0,9.0,1.0,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PHI (4 Yrs),PHI (4 Yrs),PHI (4 Yrs),PHI (4 Yrs),,50.0,49.0,419.0,273.0,4175.0,15.3,26.0,185.0,55.8,78.0,5.5,83.5,65.2,10.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,273.0,15.3,4175.0,26.0,4.0,43.0,
11,TEN (3 Yrs),TEN (3 Yrs),TEN (3 Yrs),TEN (3 Yrs),,43.0,36.0,295.0,185.0,2995.0,16.2,24.0,139.0,55.3,91.0,4.3,69.7,62.7,10.2,5.0,70.0,1.0,3.0,60.0,49.0,14.0,1.6,0.1,190.0,16.1,3065.0,25.0,3.0,31.0,
