,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,31.0,1.0,1.0,2021-09-12,TEN,,ARI,"L, 13-38",*,8,4,49,12.3,1,50.0,6.1,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,52,81.3,1,1.4,0,0.0
1,2.0,32.0,2.0,2.0,2021-09-19,TEN,@,SEA,"W, 33-30 (OT)",*,9,3,43,14.3,0,33.3,4.8,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,74,84.1,1,1.9,0,0.0
2,3.0,33.0,3.0,3.0,2021-09-26,TEN,,IND,"W, 25-16",*,2,0,0,,0,0.0,0.0,1,3,0,3.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,8,11.8,0,0.0,0,0.0
3,3.0,,4.0,4.0,2021-10-03,TEN,@,NYJ,"L, 24-27 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,4.0,34.0,5.0,5.0,2021-10-10,TEN,@,JAX,"W, 37-19",*,6,3,38,12.7,0,50.0,6.3,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,41,64.1,1,1.4,0,0.0
5,5.0,35.0,6.0,6.0,2021-10-18,TEN,,BUF,"W, 34-31",*,9,7,91,13.0,0,77.8,10.1,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,79.2,0,0.0,0,0.0
6,6.0,36.0,7.0,7.0,2021-10-24,TEN,,KAN,"W, 27-3",*,9,8,133,16.6,1,88.9,14.8,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,61.8,0,0.0,0,0.0
7,7.0,37.0,8.0,8.0,2021-10-31,TEN,@,IND,"W, 34-31 (OT)",*,11,10,155,15.5,1,90.9,14.1,0,0,0,,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,67,91.8,0,0.0,0,0.0
8,8.0,38.0,9.0,9.0,2021-11-07,TEN,@,LAR,"W, 28-16",*,11,5,42,8.4,0,45.5,3.8,0,0,0,,0,0,,0,0,0,,,,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,45,77.6,0,0.0,1,3.7
9,9.0,39.0,10.0,10.0,2021-11-14,TEN,,NOR,"W, 23-21",*,4,1,16,16.0,0,25.0,4.0,1,7,0,7.0,0,0,,0,0,0,,,,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,49,81.7,1,1.5,1,3.4
