,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2023,22,JAX,NFL,RB,17.0,0.0,50.0,132.0,2.0,12.0,42.0,12.0,2.6,7.8,2.9,4.0,1.0,6.0,6.0,0.0,0.0,25.0,6.0,0.1,0.4,25.0,1.5,51.0,2.7,138.0,2.0,2.0,1.0,
1,2024,23,JAX,NFL,RB,16.0,1.0,168.0,766.0,7.0,39.0,49.4,65.0,4.6,47.9,10.5,12.0,7.0,54.0,7.7,0.0,1.0,25.0,28.0,0.4,3.4,58.3,4.5,175.0,4.7,820.0,7.0,4.0,5.0,
2,2025,24,2TM,NFL,RB,3.0,0.0,5.0,12.0,0.0,1.0,20.0,4.0,2.4,4.0,1.7,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,5.0,2.4,12.0,0.0,0.0,,
3,2025,24,JAX,NFL,RB,1.0,0.0,5.0,12.0,0.0,1.0,20.0,4.0,2.4,12.0,5.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,5.0,2.4,12.0,0.0,0.0,,
4,2025,24,PHI,NFL,RB,2.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,
5,3 Yrs,3 Yrs,3 Yrs,3 Yrs,,36.0,1.0,223.0,910.0,9.0,52.0,47.1,65.0,4.1,25.3,6.2,16.0,8.0,60.0,7.5,0.0,1.0,25.0,28.0,0.2,1.7,50.0,3.8,231.0,4.2,970.0,9.0,6.0,6.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,0.0,105.0,430.0,4.0,25.0,47.1,65.0,4.1,25.3,6.2,8.0,4.0,28.0,7.5,0.0,0.0,25.0,28.0,0.2,1.7,50.0,3.8,109.0,4.2,458.0,4.0,3.0,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,JAX (3 Yrs),JAX (3 Yrs),JAX (3 Yrs),JAX (3 Yrs),,34.0,1.0,223.0,910.0,9.0,52.0,47.1,65.0,4.1,26.8,6.6,16.0,8.0,60.0,7.5,0.0,1.0,25.0,28.0,0.2,1.8,50.0,3.8,231.0,4.2,970.0,9.0,6.0,6.0,
9,PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,2.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,
