,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2023-09-10,JAX,@,IND,"W, 31-21",,7,13,1,1.9,1,0,0,,0,0.0,0.0,0,0,0,,1,1,0,1,-9,0,15,21.4,0,0.0,0,0.0
1,2.0,2.0,2.0,2.0,2023-09-17,JAX,,KAN,"L, 9-17",,0,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,13,19.4,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2023-09-24,JAX,,HOU,"L, 17-37",,2,10,1,5.0,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,9,12.3,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2023-10-01,JAX,,ATL,"W, 23-7",,3,10,0,3.3,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,8,12.1,0,0.0,0,0.0
4,5.0,5.0,5.0,5.0,2023-10-08,JAX,@,BUF,"W, 25-20",,3,8,0,2.7,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,13,14.8,0,0.0,0,0.0
5,6.0,6.0,6.0,6.0,2023-10-15,JAX,,IND,"W, 37-20",,3,2,0,0.7,1,1,6,6.0,0,100.0,6.0,0,0,0,,0,0,0,0,0,0,17,26.6,0,0.0,0,0.0
6,7.0,7.0,7.0,7.0,2023-10-19,JAX,@,NOR,"W, 31-24",,2,2,0,1.0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,8,14.3,0,0.0,0,0.0
7,8.0,8.0,8.0,8.0,2023-10-29,JAX,@,PIT,"W, 20-10",,3,9,0,3.0,0,0,0,,0,,,0,0,0,,1,1,0,0,0,0,6,8.5,0,0.0,0,0.0
8,9.0,9.0,9.0,10.0,2023-11-12,JAX,,SFO,"L, 3-34",,3,5,0,1.7,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,0,0,0,10,17.5,0,0.0,3,13.0
9,10.0,10.0,10.0,11.0,2023-11-19,JAX,,TEN,"W, 34-14",,9,21,0,2.3,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,10,14.1,0,0.0,2,8.0
10,11.0,11.0,11.0,12.0,2023-11-26,JAX,@,HOU,"W, 24-21",,1,6,0,6.0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,2,2.6,0,0.0,4,15.4
11,12.0,12.0,12.0,13.0,2023-12-04,JAX,,CIN,"L, 31-34 (OT)",,0,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,2,2.9,0,0.0,1,3.1
12,13.0,13.0,13.0,14.0,2023-12-10,JAX,@,CLE,"L, 27-31",,0,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,1,1.3,0,0.0,6,17.6
13,14.0,14.0,14.0,15.0,2023-12-17,JAX,,BAL,"L, 7-23",,1,-2,0,-2.0,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,1,1.6,0,0.0,2,9.1
14,15.0,15.0,15.0,16.0,2023-12-24,JAX,@,TAM,"L, 12-30",,0,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,0,0.0,0,0.0,2,10.0
15,16.0,16.0,16.0,17.0,2023-12-31,JAX,,CAR,"W, 26-0",,10,32,0,3.2,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,17,27.0,0,0.0,5,21.7
16,17.0,17.0,17.0,18.0,2024-01-07,JAX,@,TEN,"L, 20-28",,3,16,0,5.3,0,0,0,,0,,,4,99,0,24.8,0,0,0,0,0,0,9,12.7,0,0.0,9,40.9
17,,,,,,,,,9-8,,50,132,2,2.6,4,1,6,6.0,0,25.0,1.5,4,99,0,24.8,2,2,0,1,-9,0,141,12.1,0,0.0,34,7.7
