,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Ret,Yds.1,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,34.0,1.0,1,2025-09-07,JAX,,CAR,"W, 26-10",,5,12,0,2.4,1,20,0,20.0,0.0,0,0,0,0,0,0,14,21.2,0,0.0,7,31.8
1,,,,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles,Player went from Jacksonville Jaguars to Philadelphia Eagles
2,2.0,35.0,2.0,2,2025-09-14,PHI,@,KAN,"W, 20-17",,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,4,16.7
3,3.0,36.0,3.0,3,2025-09-21,PHI,,LAR,"W, 33-26",,0,0,0,,2,24,0,12.0,0.0,1,1,0,0,0,0,0,0.0,0,0.0,12,42.9
4,,,,,,,,,3-0,,5,12,0,2.4,3,44,0,14.7,0.0,1,1,0,0,0,0,14,7.3,0,0.0,23,31.1
