,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2022-09-11,SFO,@,CHI,"L, 10-19",*,6,4,62,15.5,0,66.7,10.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,41,60.3,0,0.0,6,25.0
1,2.0,18.0,2.0,2.0,2022-09-18,SFO,,SEA,"W, 27-7",,2,1,4,4.0,0,50.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35,46.1,0,0.0,4,17.4
2,3.0,19.0,3.0,3.0,2022-09-25,SFO,@,DEN,"L, 10-11",,3,1,5,5.0,0,33.3,1.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,46.4,0,0.0,9,32.1
3,4.0,20.0,4.0,4.0,2022-10-03,SFO,,LAR,"W, 24-9",,4,2,22,11.0,0,50.0,5.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,18,36.0,0,0.0,4,16.0
4,5.0,21.0,5.0,5.0,2022-10-09,SFO,@,CAR,"W, 37-15",,2,2,45,22.5,0,100.0,22.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,22.4,0,0.0,6,21.4
5,6.0,22.0,6.0,6.0,2022-10-16,SFO,@,ATL,"L, 14-28",,3,2,18,9.0,0,66.7,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,19,31.7,0,0.0,10,45.5
6,7.0,23.0,7.0,7.0,2022-10-23,SFO,,KAN,"L, 23-44",,4,2,24,12.0,0,50.0,6.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,32,40.5,0,0.0,15,53.6
7,7.0,,8.0,8.0,2022-10-30,SFO,@,LAR,"W, 31-14",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,8.0,24.0,9.0,10.0,2022-11-13,SFO,,LAC,"W, 22-16",,4,4,40,10.0,0,100.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23,32.4,0,0.0,2,7.1
9,9.0,25.0,10.0,11.0,2022-11-21,SFO,@,ARI,"W, 38-10",,2,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,37.9,0,0.0,3,11.5
10,10.0,26.0,11.0,12.0,2022-11-27,SFO,,NOR,"W, 13-0",,7,6,49,8.2,1,85.7,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,41.4,0,0.0,2,11.8
11,11.0,27.0,12.0,13.0,2022-12-04,SFO,,MIA,"W, 33-17",,4,2,34,17.0,0,50.0,8.5,0.0,0,0,0,0,0,0,1,0,0,0,0,0,22,26.2,0,0.0,4,13.3
12,12.0,28.0,13.0,14.0,2022-12-11,SFO,,TAM,"W, 35-7",,2,1,5,5.0,0,50.0,2.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,34.9,0,0.0,3,14.3
13,13.0,29.0,14.0,15.0,2022-12-15,SFO,@,SEA,"W, 21-13",*,5,3,31,10.3,0,60.0,6.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,54,84.4,0,0.0,0,0.0
14,14.0,30.0,15.0,16.0,2022-12-24,SFO,,WAS,"W, 37-20",*,3,2,21,10.5,0,66.7,7.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,46,88.5,0,0.0,0,0.0
15,15.0,31.0,16.0,17.0,2023-01-01,SFO,@,LVR,"W, 37-34 (OT)",*,3,2,46,23.0,0,66.7,15.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,88.1,0,0.0,0,0.0
16,16.0,32.0,17.0,18.0,2023-01-08,SFO,,ARI,"W, 38-13",,2,1,10,10.0,0,50.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,41.9,0,0.0,0,0.0
17,,,,,,,,,12-4,,56,35,416,11.9,1,62.5,7.4,0.0,2,1,1,0,0,0,1,0,0,0,0,0,489,46.7,0,0.0,68,16.4
