,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2021,24,SFO,NFL,WR,16,1,38,24,282,11.8,5,15,50.0,34,1.5,17.6,63.2,7.4,0,0,0,0,0.0,0.0,24,11.8,282,5,1,2,
1,2022,25,SFO,NFL,WR,16,4,56,35,416,11.9,1,23,55.4,44,2.2,26.0,62.5,7.4,0,0,0,0,0.0,0.0,35,11.9,416,1,1,4,
2,2023,26,SFO,NFL,WR,13,2,33,19,265,13.9,1,12,48.5,31,1.5,20.4,57.6,8.0,0,0,0,0,0.0,0.0,19,13.9,265,1,0,3,
3,2024,27,SFO,NFL,WR,15,10,113,77,975,12.7,6,47,54.9,45,5.1,65.0,68.1,8.6,0,0,0,0,0.0,0.0,77,12.7,975,6,1,8,
4,4 Yrs,4 Yrs,4 Yrs,4 Yrs,,60,17,240,155,1938,12.5,13,97,53.3,45,2.6,32.3,64.6,8.1,0,0,0,0,0.0,0.0,155,12.5,1938,13,3,17,
5,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,5,68,44,549,12.5,4,27,53.3,45,2.6,32.3,64.6,8.1,0,0,0,0,0.0,0.0,44,3.5,549,4,1,5,
