,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2018,23,BAL,NFL,TE,16,3,50,34,552,16.2,3,28,64.0,74,2.1,34.5,68.0,11.0,0,0,0,0,,,,0.0,0.0,34,16.2,552,3,0,5.0,
1,2019,24,BAL,NFL,TE,15,4,98,64,852,13.3,10,44,54.1,51,4.3,56.8,65.3,8.7,0,0,0,0,,,,0.0,0.0,64,13.3,852,10,2,11.0,PB
2,2020,25,BAL,NFL,TE,14,2,88,58,701,12.1,7,37,56.8,39,4.1,50.1,65.9,8.0,0,0,0,0,,,,0.0,0.0,58,12.1,701,7,2,8.0,
3,2021,26,BAL,NFL,TE,17,9,153,107,1361,12.7,9,75,62.1,43,6.3,80.1,69.9,8.9,1,0,0,0,0.0,,0.0,0.0,0.1,108,12.6,1361,9,1,10.0,"PB,AP-1"
4,2022,27,BAL,NFL,TE,15,15,113,73,847,11.6,5,48,56.6,36,4.9,56.5,64.6,7.5,3,8,0,3,100.0,4.0,2.7,0.5,0.2,76,11.3,855,5,1,8.0,PB
5,2023,28,BAL,NFL,TE,10,9,61,45,544,12.1,6,27,62.3,38,4.5,54.4,73.8,8.9,1,0,0,0,0.0,,0.0,0.0,0.1,46,11.8,544,6,1,6.0,
6,2024,29,BAL,NFL,TE,17,13,69,55,673,12.2,11,39,68.1,67,3.2,39.6,79.7,9.8,4,5,0,3,75.0,2.0,1.3,0.3,0.2,59,11.5,678,11,0,7.0,AP CPoY-19
7,2025,30,BAL,NFL,TE,3,3,10,8,98,12.3,2,4,60.0,27,2.7,32.7,80.0,9.8,1,2,0,1,100.0,2.0,2.0,0.7,0.3,9,11.1,100,2,0,,
8,8 Yrs,8 Yrs,8 Yrs,8 Yrs,,107,58,642,444,5628,12.7,53,302,60.0,74,4.1,52.6,69.2,8.8,10,15,0,7,70.0,4.0,1.5,0.1,0.1,454,12.4,5643,53,7,55.0,
9,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,9,102,71,894,12.7,8,48,60.0,74,4.1,52.6,69.2,8.8,2,2,0,1,70.0,4.0,1.5,0.1,0.1,72,12.4,897,8,1,,
