,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,63.0,1.0,1.0,2022-09-11,BAL,@,NYJ,"W, 24-9",*,7,5,52,10.4,0,71.4,7.4,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,83.9,0,0.0,1,3.7
1,2.0,64.0,2.0,2.0,2022-09-18,BAL,,MIA,"L, 38-42",*,11,9,104,11.6,1,81.8,9.5,1,3,0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,83.1,0,0.0,0,0.0
2,3.0,65.0,3.0,3.0,2022-09-25,BAL,@,NWE,"W, 37-26",*,13,8,89,11.1,2,61.5,6.8,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,54,90.0,0,0.0,0,0.0
3,4.0,66.0,4.0,4.0,2022-10-02,BAL,,BUF,"L, 20-23",*,5,2,15,7.5,0,40.0,3.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,66,94.3,0,0.0,0,0.0
4,5.0,67.0,5.0,5.0,2022-10-09,BAL,,CIN,"W, 19-17",*,10,8,89,11.1,1,80.0,8.9,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,95.4,0,0.0,0,0.0
5,6.0,68.0,6.0,6.0,2022-10-16,BAL,@,NYG,"L, 20-24",*,11,7,106,15.1,1,63.6,9.6,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,54,91.5,0,0.0,0,0.0
6,7.0,69.0,7.0,7.0,2022-10-23,BAL,,CLE,"W, 23-20",*,2,0,0,,0,0.0,0.0,1,4,0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,87.5,0,0.0,0,0.0
7,8.0,70.0,8.0,8.0,2022-10-27,BAL,@,TAM,"W, 27-22",*,5,3,33,11.0,0,60.0,6.6,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,13.2,0,0.0,0,0.0
8,8.0,,9.0,9.0,2022-11-07,BAL,@,NOR,"W, 27-13",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,9.0,71.0,10.0,11.0,2022-11-20,BAL,,CAR,"W, 13-3",*,8,6,63,10.5,0,75.0,7.9,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,64,92.8,0,0.0,0,0.0
10,10.0,72.0,11.0,12.0,2022-11-27,BAL,@,JAX,"L, 27-28",*,7,4,50,12.5,0,57.1,7.1,0,0,0,,0.0,0,0,0,0,0,0,1,0,0,0,0,0,61,84.7,0,0.0,0,0.0
11,11.0,73.0,12.0,13.0,2022-12-04,BAL,,DEN,"W, 10-9",*,7,4,53,13.3,0,57.1,7.6,1,1,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,61,84.7,0,0.0,0,0.0
12,12.0,74.0,13.0,14.0,2022-12-11,BAL,@,PIT,"W, 16-14",*,6,2,17,8.5,0,33.3,2.8,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,54,88.5,0,0.0,1,4.8
13,13.0,75.0,14.0,15.0,2022-12-17,BAL,@,CLE,"L, 3-13",*,7,3,31,10.3,0,42.9,4.4,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,58,92.1,0,0.0,0,0.0
14,14.0,76.0,15.0,16.0,2022-12-24,BAL,,ATL,"W, 17-9",*,5,3,45,15.0,0,60.0,9.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,80.8,0,0.0,0,0.0
15,15.0,77.0,16.0,17.0,2023-01-01,BAL,,PIT,"L, 13-16",*,9,9,100,11.1,0,100.0,11.1,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,94.2,0,0.0,0,0.0
16,15.0,,17.0,18.0,2023-01-08,BAL,@,CIN,"L, 16-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,9-6,,113,73,847,11.6,5,64.6,7.5,3,8,0,2.7,0.0,0,0,0,0,0,0,1,0,0,0,0,0,787,82.8,0,0.0,2,0.5
