,Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Bats,ThAwy,Spikes,Drops,Drop%,BadTh,Bad%,OnTgt,OnTgt%,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,Plays,Yds,PassAtt,PassYds,RushAtt,RushYds,PassAtt.1,PassYds.1,Awards
0,2023,25,NYG,NFL,QB,9,6,114,178,1161,6.5,518,4.5,2.9,583,5.1,7,10,0,8,4.8,21,12.5,129,76.8,2.6,68,16,9,62,26.1,23,5.4,16,131,13,123,2,8,19,138,
1,2024,26,NYG,NFL,QB,3,2,31,44,263,6.0,138,4.5,3.1,119,3.8,0,3,0,1,2.4,6,14.6,35,85.4,2.3,11,2,4,12,22.2,4,7.8,8,34,4,28,1,6,5,24,
2,2 Yrs,2 Yrs,2 Yrs,2 Yrs,,12,8,145,222,1424,6.4,656,4.5,3.0,702,4.8,7,13,0,9,4.3,27,12.9,164,78.5,2.5,79,18,13,74,25.3,27,5.7,24,165,17,151,3,14,24,162,
3,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,11,205,315,2017,6.4,929,4.5,3.0,995,4.8,10,18,0,13,4.3,38,12.9,232,78.5,2.5,112,26,18,105,25.3,38,5.7,34,234,24,214,4,20,34,230,
