,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2020-09-13,CLE,@,BAL,"L, 6-38",,1,5,0,5.0,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,5.5,0,0.0,17,68.0
1,2.0,18.0,2.0,2.0,2020-09-17,CLE,,CIN,"W, 35-30",,0,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.4,0,0.0,15,55.6
2,3.0,19.0,3.0,3.0,2020-09-27,CLE,,WAS,"W, 34-20",,0,0,0,,0,0,0,,0,,,0,0,0,,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,19,67.9
3,4.0,20.0,4.0,4.0,2020-10-04,CLE,@,DAL,"W, 49-38",,13,95,0,7.3,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,17,22.4,0,0.0,21,67.7
4,5.0,21.0,5.0,5.0,2020-10-11,CLE,,IND,"W, 32-23",,8,32,0,4.0,1,1,4,4.0,0,100.0,4.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,30.1,0,0.0,1,3.6
5,6.0,22.0,6.0,6.0,2020-10-18,CLE,@,PIT,"L, 7-38",,4,1,0,0.3,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,1,0,0,1,0,0,17,29.8,0,0.0,0,0.0
6,7.0,23.0,7.0,7.0,2020-10-25,CLE,@,CIN,"W, 37-34",,1,3,0,3.0,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.8,0,0.0,0,0.0
7,8.0,24.0,8.0,8.0,2020-11-01,CLE,,LVR,"L, 6-16",,2,6,0,3.0,1,1,5,5.0,0,100.0,5.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6,12.2,0,0.0,0,0.0
8,9.0,25.0,9.0,10.0,2020-11-15,CLE,,HOU,"W, 10-7",,0,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,5,29.4
9,10.0,26.0,10.0,11.0,2020-11-22,CLE,,PHI,"W, 22-17",,0,0,0,,0,0,0,,0,,,2,40,0,20.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,0,0.0,5,17.2
10,11.0,27.0,11.0,12.0,2020-11-29,CLE,@,JAX,"W, 27-25",,0,0,0,,0,0,0,,0,,,3,93,0,31.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.5,0,0.0,13,50.0
11,12.0,28.0,12.0,13.0,2020-12-06,CLE,@,TEN,"W, 41-35",,0,0,0,,1,1,5,5.0,0,100.0,5.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.7,0,0.0,15,50.0
12,13.0,29.0,13.0,14.0,2020-12-14,CLE,,BAL,"L, 42-47",,0,0,0,,0,0,0,,0,,,1,16,0,16.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,8,24.2
13,14.0,30.0,14.0,15.0,2020-12-20,CLE,@,NYG,"W, 20-6",,4,24,0,6.0,0,0,0,,0,,,1,16,0,16.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5,7.8,0,0.0,6,31.6
14,15.0,31.0,15.0,16.0,2020-12-27,CLE,@,NYJ,"L, 16-23",,0,0,0,,0,0,0,,0,,,3,79,0,26.3,2,13,0,6.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,13,38.2
15,16.0,32.0,16.0,17.0,2021-01-03,CLE,,PIT,"W, 24-22",,0,0,0,,0,0,0,,0,,,4,107,0,26.8,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,11,44.0
16,,,,,,,,,11-5,,33,166,0,5.0,4,3,14,4.7,0,75.0,3.5,14,351,0,25.1,3,13,0,4.3,0.0,0,0,0,0,0,0,1,0,0,1,0,0,81,7.6,0,0.0,149,35.1
