,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,11.0,1.0,1.0,2023-09-10,LAR,@,SEA,"W, 30-13",,15,52,2,3.5,2,0,2,,0,0.0,1.0,1,8,0,8.0,1,7,0,7.0,0,0,0,0,0,0,53,65.4,0,0.0,8,28.6
1,2.0,12.0,2.0,2.0,2023-09-17,LAR,,SFO,"L, 23-30",*,14,52,1,3.7,10,6,48,8.0,1,60.0,4.8,0,0,0,,1,11,0,11.0,0,0,0,0,0,0,76,95.0,0,0.0,4,14.3
2,3.0,13.0,3.0,3.0,2023-09-25,LAR,@,CIN,"L, 16-19",*,10,38,0,3.8,7,2,27,13.5,0,28.6,3.9,0,0,0,,1,3,0,3.0,0,0,0,0,0,0,55,100.0,0,0.0,6,19.4
3,4.0,14.0,4.0,4.0,2023-10-01,LAR,@,IND,"W, 29-23 (OT)",*,25,103,2,4.1,3,3,24,8.0,0,100.0,8.0,0,0,0,,0,0,0,,1,0,0,0,0,0,59,72.0,0,0.0,0,0.0
4,5.0,15.0,5.0,5.0,2023-10-08,LAR,,PHI,"L, 14-23",*,13,53,0,4.1,2,2,4,2.0,0,100.0,2.0,0,0,0,,0,0,0,,0,0,0,0,0,0,47,83.9,0,0.0,0,0.0
5,6.0,16.0,6.0,6.0,2023-10-15,LAR,,ARI,"W, 26-9",*,20,158,1,7.9,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,47,82.5,0,0.0,0,0.0
6,6.0,,7.0,7.0,2023-10-22,LAR,,PIT,"L, 17-24",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,6.0,,8.0,8.0,2023-10-29,LAR,@,DAL,"L, 20-43",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,6.0,,9.0,9.0,2023-11-05,LAR,@,GNB,"L, 3-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,6.0,,10.0,11.0,2023-11-19,LAR,,SEA,"W, 17-16",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,7.0,17.0,11.0,12.0,2023-11-26,LAR,@,ARI,"W, 37-14",*,16,143,0,8.9,6,6,61,10.2,2,100.0,10.2,0,0,0,,0,0,0,,0,0,0,0,0,0,41,61.2,0,0.0,0,0.0
11,8.0,18.0,12.0,13.0,2023-12-03,LAR,,CLE,"W, 36-19",*,21,88,1,4.2,5,3,24,8.0,0,60.0,4.8,0,0,0,,0,0,0,,0,0,0,0,0,0,60,93.8,0,0.0,1,3.0
12,9.0,19.0,13.0,14.0,2023-12-10,LAR,@,BAL,"L, 31-37 (OT)",*,25,114,0,4.6,4,3,-1,-0.3,0,75.0,-0.3,0,0,0,,0,0,0,,0,0,0,0,0,0,69,89.6,0,0.0,1,2.7
13,10.0,20.0,14.0,15.0,2023-12-17,LAR,,WAS,"W, 28-20",*,27,152,1,5.6,7,5,3,0.6,0,71.4,0.4,0,0,0,,0,0,0,,2,2,0,0,0,0,58,77.3,0,0.0,2,7.4
