,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds.1,1D.1,YBC.1,YBC/R,YAC.1,YAC/R,ADOT,BrkTkl.1,Rec/Br,Drop,Drop%,Int,Rat,Awards
0,2018,26,DEN,NFL,RB,16.0,0.0,34.0,183.0,11.0,93.0,2.7,90.0,2.6,2.0,17.0,51.0,38.0,275.0,9.0,33.0,0.9,242.0,6.4,1.5,6.0,6.3,2.0,3.9,0.0,86.6,
1,2019,27,DEN,NFL,RB,16.0,0.0,2.0,9.0,0.0,0.0,0.0,9.0,4.5,1.0,2.0,9.0,6.0,57.0,1.0,13.0,2.2,44.0,7.3,4.0,0.0,,1.0,11.1,0.0,84.0,
2,2020,28,LVR,NFL,RB,16.0,1.0,93.0,423.0,21.0,236.0,2.5,187.0,2.0,5.0,18.6,21.0,17.0,84.0,2.0,3.0,0.2,81.0,4.8,0.3,2.0,8.5,0.0,0.0,1.0,63.5,
3,2021,29,NYG,NFL,RB,16.0,4.0,145.0,593.0,31.0,364.0,2.5,229.0,1.6,2.0,72.5,45.0,40.0,268.0,11.0,-21.0,-0.5,289.0,7.2,-0.1,0.0,,2.0,4.4,0.0,98.9,
4,4 Yrs,4 Yrs,4 Yrs,4 Yrs,,64.0,5.0,274.0,1208.0,63.0,693.0,2.5,515.0,1.9,10.0,27.4,126.0,101.0,684.0,23.0,28.0,0.3,656.0,6.5,0.9,8.0,12.6,5.0,4.0,1.0,88.6,
5,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,1.0,73.0,321.0,17.0,184.0,2.5,137.0,1.9,3.0,27.4,33.0,27.0,182.0,6.0,7.0,0.3,174.0,6.5,0.9,2.0,12.6,1.0,4.0,0.0,88.6,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,DEN (2 Yrs),DEN (2 Yrs),DEN (2 Yrs),DEN (2 Yrs),,32.0,0.0,36.0,192.0,11.0,93.0,2.6,99.0,2.8,3.0,12.0,60.0,44.0,332.0,10.0,46.0,1.0,286.0,6.5,1.9,6.0,7.3,3.0,5.0,0.0,86.2,
8,NYG (1 Yr),NYG (1 Yr),NYG (1 Yr),NYG (1 Yr),,16.0,4.0,145.0,593.0,31.0,364.0,2.5,229.0,1.6,2.0,72.5,45.0,40.0,268.0,11.0,-21.0,-0.5,289.0,7.2,-0.1,0.0,,2.0,4.4,0.0,98.9,
9,LVR (1 Yr),LVR (1 Yr),LVR (1 Yr),LVR (1 Yr),,16.0,1.0,93.0,423.0,21.0,236.0,2.5,187.0,2.0,5.0,18.6,21.0,17.0,84.0,2.0,3.0,0.2,81.0,4.8,0.3,2.0,8.5,0.0,0.0,1.0,63.5,
