,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,78.0,1.0,1.0,2021-09-12,NYG,,DEN,"L, 13-27",,4,7,0,1.8,1,1,6,6.0,0,100.0,6.0,0.0,0,0,0,0,0,0,24,39.3,0,0.0,6,31.6
1,2.0,79.0,2.0,2.0,2021-09-16,NYG,@,WAS,"L, 29-30",,2,9,0,4.5,1,1,2,2.0,0,100.0,2.0,0.0,0,0,0,0,0,0,10,14.5,0,0.0,6,17.1
2,2.0,,3.0,3.0,2021-09-26,NYG,,ATL,"L, 14-17",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,3.0,80.0,4.0,4.0,2021-10-03,NYG,@,NOR,"W, 27-21 (OT)",,1,6,0,6.0,1,1,6,6.0,0,100.0,6.0,0.0,0,0,0,0,0,0,7,11.1,0,0.0,5,20.0
4,4.0,81.0,5.0,5.0,2021-10-10,NYG,@,DAL,"L, 20-44",,16,42,1,2.6,4,3,16,5.3,1,75.0,4.0,0.0,0,0,0,0,0,0,60,88.2,0,0.0,9,30.0
5,5.0,82.0,6.0,6.0,2021-10-17,NYG,,LAR,"L, 11-38",*,12,41,0,3.4,4,4,28,7.0,0,100.0,7.0,0.0,0,0,0,0,0,0,54,72.0,0,0.0,0,0.0
6,6.0,83.0,7.0,7.0,2021-10-24,NYG,,CAR,"W, 25-3",*,14,51,1,3.6,3,2,15,7.5,0,66.7,5.0,0.0,0,0,0,0,0,0,59,81.9,0,0.0,0,0.0
7,7.0,84.0,8.0,8.0,2021-11-01,NYG,@,KAN,"L, 17-20",*,15,60,0,4.0,6,5,65,13.0,0,83.3,10.8,0.0,1,1,0,0,0,0,56,93.3,0,0.0,0,0.0
8,8.0,85.0,9.0,9.0,2021-11-07,NYG,,LVR,"W, 23-16",*,21,99,0,4.7,3,3,23,7.7,0,100.0,7.7,0.0,0,0,0,0,0,0,41,73.2,0,0.0,0,0.0
9,9.0,86.0,10.0,11.0,2021-11-22,NYG,@,TAM,"L, 10-30",,3,15,0,5.0,1,1,5,5.0,0,100.0,5.0,0.0,0,0,0,0,0,0,21,36.2,0,0.0,4,16.0
10,10.0,87.0,11.0,12.0,2021-11-28,NYG,,PHI,"W, 13-7",,3,10,0,3.3,1,1,17,17.0,0,100.0,17.0,0.0,0,0,0,0,0,0,10,16.7,0,0.0,5,26.3
11,11.0,88.0,12.0,13.0,2021-12-05,NYG,@,MIA,"L, 9-20",,6,36,0,6.0,4,4,18,4.5,0,100.0,4.5,0.0,0,0,0,0,0,0,23,35.4,0,0.0,0,0.0
12,12.0,89.0,13.0,14.0,2021-12-12,NYG,@,LAC,"L, 21-37",,8,56,0,7.0,5,4,28,7.0,0,80.0,5.6,0.0,0,0,0,0,0,0,28,40.6,0,0.0,0,0.0
13,13.0,90.0,14.0,15.0,2021-12-19,NYG,,DAL,"L, 6-21",,8,74,0,9.3,2,2,8,4.0,0,100.0,4.0,0.0,1,1,0,0,0,0,28,44.4,0,0.0,7,33.3
14,14.0,91.0,15.0,16.0,2021-12-26,NYG,@,PHI,"L, 10-34",,6,27,0,4.5,4,4,19,4.8,0,100.0,4.8,0.0,1,1,0,0,0,0,41,53.9,0,0.0,15,48.4
15,15.0,92.0,16.0,17.0,2022-01-02,NYG,@,CHI,"L, 3-29",,18,46,0,2.6,3,2,0,0.0,0,66.7,0.0,0.0,0,0,0,0,0,0,27,48.2,0,0.0,4,17.4
16,16.0,93.0,17.0,18.0,2022-01-09,NYG,,WAS,"L, 7-22",,8,14,0,1.8,2,2,12,6.0,0,100.0,6.0,0.0,0,0,0,0,0,0,30,50.0,0,0.0,6,25.0
17,,,,,,,,,4-12,,145,593,2,4.1,45,40,268,6.7,1,88.9,6.0,0.0,3,3,0,0,0,0,519,50.3,0,0.0,67,16.1
