,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,31.0,1.0,1.0,2022-09-11,CIN,,PIT,"L, 20-23 (OT)",*,2,2,27,13.5,0,100.0,13.5,0.0,0,0,0,0,0,0,26,26.0,0,0.0,0,0.0
1,2.0,32.0,2.0,2.0,2022-09-18,CIN,@,DAL,"L, 17-20",*,10,6,71,11.8,1,60.0,7.1,0.0,0,0,0,0,0,0,62,88.6,0,0.0,0,0.0
2,3.0,33.0,3.0,3.0,2022-09-25,CIN,@,NYJ,"W, 27-12",*,7,5,93,18.6,0,71.4,13.3,0.0,0,0,0,0,0,0,46,67.6,0,0.0,0,0.0
3,4.0,34.0,4.0,4.0,2022-09-29,CIN,,MIA,"W, 27-15",*,9,7,124,17.7,1,77.8,13.8,0.0,0,0,0,0,0,0,49,76.6,0,0.0,0,0.0
4,5.0,35.0,5.0,5.0,2022-10-09,CIN,@,BAL,"L, 17-19",*,0,0,0,,0,,,0.0,0,0,0,0,0,0,10,15.9,0,0.0,0,0.0
5,6.0,36.0,6.0,6.0,2022-10-16,CIN,@,NOR,"W, 30-26",,9,6,47,7.8,0,66.7,5.2,0.0,0,0,0,0,0,0,49,86.0,0,0.0,0,0.0
6,7.0,37.0,7.0,7.0,2022-10-23,CIN,,ATL,"W, 35-17",*,7,5,93,18.6,0,71.4,13.3,0.0,0,0,0,0,0,0,57,83.8,0,0.0,0,0.0
7,8.0,38.0,8.0,8.0,2022-10-31,CIN,@,CLE,"L, 13-32",*,6,3,49,16.3,1,50.0,8.2,0.0,0,0,0,0,0,0,52,98.1,0,0.0,0,0.0
8,9.0,39.0,9.0,9.0,2022-11-06,CIN,,CAR,"W, 42-21",*,8,7,60,8.6,0,87.5,7.5,0.0,0,0,0,0,0,0,46,62.2,0,0.0,1,3.4
9,10.0,40.0,10.0,11.0,2022-11-20,CIN,@,PIT,"W, 37-30",*,13,9,148,16.4,0,69.2,11.4,0.0,0,0,0,0,0,0,52,78.8,0,0.0,1,2.8
10,11.0,41.0,11.0,12.0,2022-11-27,CIN,@,TEN,"W, 20-16",*,9,7,114,16.3,1,77.8,12.7,0.0,0,0,0,0,0,0,58,82.9,0,0.0,0,0.0
11,12.0,42.0,12.0,13.0,2022-12-04,CIN,,KAN,"W, 27-24",*,5,3,35,11.7,1,60.0,7.0,0.0,0,0,0,0,0,0,67,93.1,0,0.0,0,0.0
12,13.0,43.0,13.0,14.0,2022-12-11,CIN,,CLE,"W, 23-10",,0,0,0,,0,,,0.0,0,0,0,0,0,0,1,1.5,0,0.0,0,0.0
13,14.0,44.0,14.0,15.0,2022-12-18,CIN,@,TAM,"W, 34-23",*,8,5,33,6.6,1,62.5,4.1,0.0,0,0,0,0,0,0,53,80.3,0,0.0,1,4.0
14,15.0,45.0,15.0,16.0,2022-12-24,CIN,@,NWE,"W, 22-18",*,9,8,128,16.0,1,88.9,14.2,0.0,0,0,0,0,0,0,73,88.0,0,0.0,0,0.0
15,16.0,46.0,16.0,18.0,2023-01-08,CIN,,BAL,"W, 27-16",*,7,1,7,7.0,0,14.3,1.0,0.0,0,0,0,0,0,0,56,84.8,0,0.0,0,0.0
16,,,,,,,,,12-4,,109,74,1029,13.9,7,67.9,9.4,0.0,0,0,0,0,0,0,757,68.4,0,0.0,3,0.7
