,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2019,23,DEN,NFL,QB,5.0,5.0,4-1-0,100.0,156.0,64.1,1020.0,7.0,4.5,3.0,1.9,54.0,44.1,48.0,6.5,6.57,10.2,204.0,89.7,50.2,5.0,26.0,3.11,6.17,6.2,1.0,2.0,3.0,
1,2020,24,DEN,NFL,QB,13.0,13.0,4-9-0,254.0,443.0,57.3,2933.0,16.0,3.6,15.0,3.4,145.0,41.1,92.0,6.6,5.82,11.5,225.6,75.4,41.2,19.0,123.0,4.11,6.08,5.31,1.0,1.0,6.0,
2,2021,25,DEN,NFL,QB,6.0,3.0,0-3-0,67.0,111.0,60.4,787.0,2.0,1.8,2.0,1.8,32.0,36.7,44.0,7.1,6.64,11.7,131.2,80.4,28.1,9.0,52.0,7.5,6.13,5.71,0.0,0.0,3.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023,27,SEA,NFL,QB,4.0,2.0,1-1-0,48.0,76.0,63.2,543.0,3.0,3.9,3.0,3.9,20.0,40.2,51.0,7.1,6.16,11.3,135.8,81.2,44.1,6.0,26.0,7.32,6.3,5.39,1.0,1.0,2.0,
5,2024,28,NYG,NFL,QB,8.0,5.0,1-4-0,107.0,181.0,59.1,1071.0,6.0,3.3,5.0,2.8,45.0,39.9,59.0,5.9,5.34,10.0,133.9,75.5,46.4,12.0,88.0,6.22,5.09,4.55,0.0,0.0,1.0,
6,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,36.0,28.0,10-18-0,576.0,967.0,59.6,6354.0,34.0,3.5,28.0,2.9,296.0,40.8,92.0,6.6,5.97,11.0,176.5,78.8,,51.0,315.0,5.01,5.93,5.36,3.0,4.0,15.0,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,13.0,10-18-0,272.0,457.0,59.6,3001.0,16.0,3.5,13.0,2.9,140.0,40.8,92.0,6.6,5.97,11.0,176.5,78.8,,24.0,149.0,5.01,5.93,5.36,1.0,2.0,7.0,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DEN (3 Yrs),DEN (3 Yrs),DEN (3 Yrs),DEN (3 Yrs),,24.0,21.0,8-13-0,421.0,710.0,59.3,4740.0,25.0,3.5,20.0,2.8,231.0,41.0,92.0,6.7,6.11,11.3,197.5,79.3,,33.0,201.0,4.44,6.11,5.57,2.0,3.0,12.0,
10,NYG (1 Yr),NYG (1 Yr),NYG (1 Yr),NYG (1 Yr),,8.0,5.0,1-4-0,107.0,181.0,59.1,1071.0,6.0,3.3,5.0,2.8,45.0,39.9,59.0,5.9,5.34,10.0,133.9,75.5,,12.0,88.0,6.22,5.09,4.55,0.0,0.0,1.0,
11,SEA (1 Yr),SEA (1 Yr),SEA (1 Yr),SEA (1 Yr),,4.0,2.0,1-1-0,48.0,76.0,63.2,543.0,3.0,3.9,3.0,3.9,20.0,40.2,51.0,7.1,6.16,11.3,135.8,81.2,,6.0,26.0,7.32,6.3,5.39,1.0,1.0,2.0,
