,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2018,25,DEN,NFL,WR,16,4,41,23,315,13.7,1,15,43.9,26,1.4,19.7,56.1,7.7,3,17,0,2,66.7,13,5.7,1.1,0.2,26,12.8,332,1,2,2,
1,2019,26,DEN,NFL,WR,8,2,31,16,218,13.6,0,14,48.4,38,2.0,27.3,51.6,7.0,0,0,0,0,,,,0.0,0.0,16,13.6,218,0,0,2,
2,2020,27,DEN,NFL,WR,15,15,79,51,742,14.5,6,33,55.7,61,3.4,49.5,64.6,9.4,0,0,0,0,,,,0.0,0.0,51,14.5,742,6,0,5,
3,2021,28,DEN,NFL,WR,16,16,85,53,734,13.8,5,39,55.3,44,3.3,45.9,62.4,8.6,0,0,0,0,,,,0.0,0.0,53,13.8,734,5,0,6,
4,2022,Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL),Did not play - Injured (torn ACL)
5,2023,Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles),Did not play - Injured (torn Achilles)
6,2024,31,DET,NFL,WR,16,9,44,33,394,11.9,3,20,56.8,42,2.1,24.6,75.0,9.0,0,0,0,0,,,,0.0,0.0,33,11.9,394,3,0,4,AP CPoY-6
7,2025,32,JAX,NFL,WR,3,0,2,1,16,16.0,0,1,50.0,16,0.3,5.3,50.0,8.0,0,0,0,0,,,,0.0,0.0,1,16.0,16,0,0,,
8,6 Yrs,6 Yrs,6 Yrs,6 Yrs,,74,46,282,177,2419,13.7,15,122,53.2,61,2.4,32.7,62.8,8.6,3,17,0,2,66.7,13,5.7,0.2,0.0,180,13.5,2436,15,2,19,
9,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,11,65,41,556,13.7,3,28,53.2,61,2.4,32.7,62.8,8.6,1,4,0,0,66.7,13,5.7,0.2,0.0,41,13.5,560,3,0,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,DEN (4 Yrs),DEN (4 Yrs),DEN (4 Yrs),DEN (4 Yrs),,55,37,236,143,2009,14.0,12,101,52.5,61,2.6,36.5,60.6,8.5,3,17,0,2,66.7,13,5.7,0.3,0.1,146,13.9,2026,12,2,15,
12,DET (1 Yr),DET (1 Yr),DET (1 Yr),DET (1 Yr),,16,9,44,33,394,11.9,3,20,56.8,42,2.1,24.6,75.0,9.0,0,0,0,0,,,,0.0,0.0,33,11.9,394,3,0,4,
13,JAX (1 Yr),JAX (1 Yr),JAX (1 Yr),JAX (1 Yr),,3,0,2,1,16,16.0,0,1,50.0,16,0.3,5.3,50.0,8.0,0,0,0,0,,,,0.0,0.0,1,16.0,16,0,0,,
