,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,PRTD,Y/Ret,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.5,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,33.0,1.0,1.0,2016-09-11,MIA,@,SEA,"L, 10-12",*,10,7,59,8.4,0,70.0,5.9,0,0,0,,0,0,,0,0,0,,,,0,0,1,16,0,16.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,52,96.3,0,0.0,3,12.0
1,2.0,34.0,2.0,2.0,2016-09-18,MIA,@,NWE,"L, 24-31",*,13,10,135,13.5,0,76.9,10.4,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0.0,0,1,1,0,0,0,0,60,93.8,0,0.0,2,7.1
2,3.0,35.0,3.0,3.0,2016-09-25,MIA,,CLE,"W, 30-24 (OT)",*,12,7,120,17.1,1,58.3,10.0,2,16,0,8.0,0,0,,0,0,0,,,,0,0,1,13,0,13.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,66,98.5,0,0.0,3,8.8
3,4.0,36.0,4.0,4.0,2016-09-29,MIA,@,CIN,"L, 7-22",*,10,7,61,8.7,0,70.0,6.1,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,43,95.6,0,0.0,2,7.1
4,5.0,37.0,5.0,5.0,2016-10-09,MIA,,TEN,"L, 17-30",*,3,3,28,9.3,0,100.0,9.3,1,2,0,2.0,0,0,,0,0,0,,,,0,0,1,12,0,12.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,42,95.5,0,0.0,4,13.8
5,6.0,38.0,6.0,6.0,2016-10-16,MIA,,PIT,"W, 30-15",*,9,7,91,13.0,0,77.8,10.1,0,0,0,,0,0,,0,0,0,,,,0,0,1,11,0,11.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,64,91.4,0,0.0,5,19.2
6,7.0,39.0,7.0,7.0,2016-10-23,MIA,,BUF,"W, 28-25",*,8,5,78,15.6,0,62.5,9.8,0,0,0,,0,0,,0,0,0,,,,0,0,2,17,0,8.5,0.0,0,0,0,0,,0,0,0,0,0,0,0,68,93.2,0,0.0,5,15.6
7,8.0,40.0,8.0,9.0,2016-11-06,MIA,,NYJ,"W, 27-23",*,6,3,33,11.0,0,50.0,5.5,0,0,0,,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0,1,9,0,9.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,60,95.2,0,0.0,1,3.1
8,9.0,41.0,9.0,10.0,2016-11-13,MIA,@,SDG,"W, 31-24",*,6,6,53,8.8,0,100.0,8.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,49,96.1,0,0.0,1,3.4
9,10.0,42.0,10.0,11.0,2016-11-20,MIA,@,LAR,"W, 14-10",*,5,5,28,5.6,1,100.0,5.6,0,0,0,,0,0,,0,0,0,,,,0,0,1,1,0,1.0,0.0,0,0,0,0,,0,0,0,0,0,0,0,54,90.0,0,0.0,6,20.7
10,11.0,43.0,11.0,12.0,2016-11-27,MIA,,SFO,"W, 31-24",*,7,4,47,11.8,0,57.1,6.7,0,0,0,,0,0,,0,0,0,,,,0,0,2,7,0,3.5,0.0,0,0,0,0,,0,0,0,0,0,0,0,55,93.2,0,0.0,4,13.8
11,12.0,44.0,12.0,13.0,2016-12-04,MIA,@,BAL,"L, 6-38",*,14,11,87,7.9,0,78.6,6.2,1,-1,0,-1.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,61,98.4,0,0.0,2,8.3
12,13.0,45.0,13.0,14.0,2016-12-11,MIA,,ARI,"W, 26-23",*,6,4,103,25.8,0,66.7,17.2,0,0,0,,0,0,,0,0,0,,,,0,0,4,52,0,13.0,0.0,1,1,0,0,0.0,0,1,1,0,0,0,0,58,96.7,0,0.0,5,16.7
13,14.0,46.0,14.0,15.0,2016-12-17,MIA,@,NYJ,"W, 34-13",*,4,3,108,36.0,1,75.0,27.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,36,75.0,0,0.0,3,10.7
14,15.0,47.0,15.0,16.0,2016-12-24,MIA,@,BUF,"W, 34-31 (OT)",*,6,3,29,9.7,0,50.0,4.8,1,0,0,0.0,0,0,,0,0,0,,,,0,0,2,25,0,12.5,0.0,0,0,0,0,,0,0,0,0,0,0,0,66,95.7,0,0.0,4,11.1
15,16.0,48.0,16.0,17.0,2017-01-01,MIA,,NWE,"L, 14-35",*,12,9,76,8.4,1,75.0,6.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,,0,0,0,0,0,0,0,58,98.3,0,0.0,1,3.8
16,,,,,,,,,10-6,,131,94,1136,12.1,4,71.8,8.7,5,17,0,3.4,0,1,0.0,0,0,0,0.0,0.0,39.6,0,0,16,163,0,10.2,0.0,1,1,0,0,0.0,0,2,2,0,0,0,0,892,94.1,0,0.0,51,11.0
