,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2016,24,MIA,NFL,WR,1.0,1.0,14.0,11.0,102.0,9.3,0.0,8.0,64.3,17.0,11.0,102.0,78.6,7.3,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.3,102.0,0.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020,28,CLE,NFL,WR,2.0,1.0,18.0,12.0,112.0,9.3,2.0,6.0,38.9,40.0,6.0,56.0,66.7,6.2,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.3,112.0,2.0,0.0,
3,2 Yrs,2 Yrs,2 Yrs,2 Yrs,,3.0,2.0,32.0,23.0,214.0,9.3,2.0,14.0,50.0,40.0,7.7,71.3,71.9,6.7,0.0,0.0,0.0,0.0,0.0,0.0,23.0,9.3,214.0,2.0,0.0,
4,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,11.0,181.0,130.0,1213.0,9.3,11.0,79.0,50.0,40.0,7.7,71.3,71.9,6.7,0.0,0.0,0.0,0.0,0.0,0.0,130.0,9.3,1213.0,11.0,0.0,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),CLE (1 Yr),,2.0,1.0,18.0,12.0,112.0,9.3,2.0,6.0,38.9,40.0,6.0,56.0,66.7,6.2,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.3,112.0,2.0,0.0,
7,MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),MIA (1 Yr),,1.0,1.0,14.0,11.0,102.0,9.3,0.0,8.0,64.3,17.0,11.0,102.0,78.6,7.3,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.3,102.0,0.0,0.0,
