,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2024,22,ARI,NFL,WR,17,16,116,62,885,14.3,8,43,50.0,60,3.6,52.1,53.4,7.6,0,0,0,0,0.0,0.0,62,14.3,885,8,1,8.0,
1,2025,23,ARI,NFL,WR,4,4,27,16,208,13.0,2,9,48.1,45,4.0,52.0,59.3,7.7,0,0,0,0,0.0,0.0,16,13.0,208,2,0,,
2,2 Yrs,2 Yrs,2 Yrs,2 Yrs,,21,20,143,78,1093,14.0,10,52,49.7,60,3.7,52.0,54.5,7.6,0,0,0,0,0.0,0.0,78,14.0,1093,10,1,8.0,
3,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,16,116,63,885,14.0,8,42,49.7,60,3.7,52.0,54.5,7.6,0,0,0,0,0.0,0.0,63,14.0,885,8,1,,
